model,kind,arm,n,sets,K,pairwise,first,mbr,rover_freq,rover_cg,mover,mover_c1,mover_nc,mover_mbrfirst,oracle,rover_cg_oldwn,mover_minus_rover,ci_lo,ci_hi
drax,lowT,lowT,4599,23,16,9.354,14.911,14.175,14.065,14.094,13.863,13.869,13.862,13.879,11.477,16.773,-0.231,-0.338,-0.136
drax,main,main,4599,23,16,21.714,20.875,15.141,14.274,14.513,14.221,14.215,14.221,14.207,12.637,17.094,-0.292,-0.396,-0.183
parakeet-ctc,main,sample,1399,7,32,11.75,13.848,11.16,10.886,10.952,10.93,10.926,10.93,10.944,8.815,13.302,-0.022,-0.131,0.083
whisfusion,main,main,3599,18,32,34.111,38.055,28.99,26.816,26.093,26.799,26.787,26.8,26.622,24.929,27.628,0.706,0.565,0.848
whisper-small,main,sample,1399,7,16,10.901,14.333,13.407,13.231,13.165,12.09,12.103,12.085,12.107,8.669,15.862,-1.075,-1.731,-0.528
whisper-turbo,main,sample,2199,11,16,11.325,18.859,16.564,16.329,16.274,15.825,15.838,15.823,15.878,13.345,18.883,-0.449,-0.688,-0.222
drax,sweepT,T0.4,599,3,16,6.792,8.759,7.487,7.476,7.615,7.444,7.444,7.444,7.455,5.39,10.877,-0.171,-0.348,0.0
drax,sweepT,T0.7,599,3,16,8.451,9.123,7.433,7.348,7.604,7.38,7.38,7.38,7.358,5.187,10.77,-0.225,-0.412,-0.033
drax,sweepT,T1,599,3,16,11.529,9.914,7.786,7.551,7.561,7.465,7.465,7.465,7.497,5.059,10.834,-0.096,-0.28,0.078
drax,sweepT,T1.3,599,3,16,19.774,14.46,8.674,7.893,8.075,8.075,8.075,8.075,8.064,6.396,11.166,0.0,-0.237,0.266
drax,sweepT,T1.6,599,3,16,53.055,40.963,17.476,12.674,13.144,13.572,13.69,13.572,12.963,15.251,15.273,0.428,-0.204,1.005
parakeet-ctc,sweepT,T0.5,599,3,32,6.356,9.027,8.684,8.652,8.759,8.695,8.695,8.695,8.717,6.599,11.85,-0.064,-0.177,0.046
parakeet-ctc,sweepT,T1,599,3,32,14.825,12.214,8.93,8.61,8.877,8.695,8.695,8.695,8.706,6.342,11.957,-0.182,-0.344,-0.011
parakeet-ctc,sweepT,T1.5,599,3,32,39.209,28.449,15.176,9.882,10.77,10.61,10.599,10.61,10.342,13.358,13.412,-0.16,-0.52,0.201
parakeet-ctc,sweepT,T2,599,3,32,77.213,81.38,53.947,28.813,32.631,27.711,27.786,27.711,26.866,51.829,32.545,-4.92,-6.409,-3.583
whisfusion,sweepT,fss0,599,3,32,33.917,33.348,24.332,21.807,21.187,22.16,22.139,22.16,21.914,20.171,23.176,0.973,0.566,1.368
whisfusion,sweepT,fssT0.5,599,3,32,34.501,34.513,24.011,21.497,21.07,22.053,22.086,22.053,21.765,20.193,23.166,0.984,0.626,1.364
whisfusion,sweepT,fssT1,599,3,32,36.159,35.433,24.738,21.818,21.465,22.139,22.193,22.139,21.925,20.396,23.455,0.674,0.271,1.045
whisfusion,sweepT,fssT1.5,599,3,32,38.369,36.898,25.027,21.711,21.476,22.545,22.663,22.545,22.481,21.198,23.529,1.07,0.62,1.52
whisper-turbo,sweepT,T0.3,599,3,16,3.487,7.262,7.112,7.048,7.091,7.048,7.048,7.048,7.102,5.348,10.642,-0.043,-0.21,0.112
whisper-turbo,sweepT,T0.6,599,3,16,7.343,7.914,7.241,7.209,7.209,7.016,7.016,7.016,7.155,4.567,10.824,-0.193,-0.411,0.011
whisper-turbo,sweepT,T0.9,599,3,16,15.252,10.717,10.139,9.69,9.914,7.123,7.112,7.123,7.134,4.439,13.198,-2.791,-4.412,-1.378
whisper-turbo,sweepT,T1.2,599,3,16,58.924,61.551,34.289,30.61,30.674,18.225,19.615,18.118,19.69,8.225,34.995,-12.449,-15.219,-9.896
