model,precision,set,kind,arm,k,k_is_main,norm,a,b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
drax,,ami,lowT,lowT,16,True,legacy,conf,rover_cg,1.2813370473537604,0.48976481633355656,2.1181956272722746,0.4213373548269694,0.001,200,31,12,157,16,0.5751281745268856,2.1074457655257888,0.003337695685433082
drax,,ami,lowT,lowT,16,True,whisper,conf,rover_cg,1.5283842794759825,0.6862605042016807,2.4626734107958486,0.45590294849863033,0.0,200,34,12,154,16,0.5309705151769618,2.547527864876293,0.0008520038268446119
drax,,ami,lowT,lowT,16,True,legacy,mbr,rover_cg,-0.1671309192200557,-0.5476526279464058,0.1770956316410862,0.18312856475565772,0.858,200,4,7,189,16,-0.4961025644609875,0.18204990787329028,0.36571229628151325
drax,,ami,lowT,lowT,16,True,whisper,mbr,rover_cg,0.0,-0.4039267458194175,0.4048994437312792,0.20834491352766135,0.568,200,5,6,189,16,-0.45461225580428716,0.33843340147460765,1.0
drax,,ami,lowT,lowT,16,True,legacy,cm05,rover_cg,-0.055710306406685235,-0.4592525117009437,0.32961785520343584,0.20045428010334976,0.6465,200,6,7,187,16,-0.49920449646917214,0.31717982465603667,0.7815112949987133
drax,,ami,lowT,lowT,16,True,whisper,cm05,rover_cg,-0.1091703056768559,-0.5202840522143458,0.28233434911243543,0.20434571132840687,0.755,200,6,8,186,16,-0.565040482769049,0.18125798829760112,0.5929800980174267
drax,,ami,lowT,lowT,16,True,legacy,conf,rover_c,1.392757660167131,0.6008897352579087,2.2199378723757905,0.4193541123322326,0.0005,200,31,10,159,16,0.6647026004536915,2.2333060910533145,0.0012212577210932636
drax,,ami,lowT,lowT,16,True,whisper,conf,rover_c,1.6375545851528384,0.7628599857181086,2.6318055471629695,0.47341598165155785,0.0,200,35,12,153,16,0.5617977528089888,2.807703131016914,0.0005971857087746858
drax,,ami,lowT,lowT,16,True,legacy,conf,rover_freq,1.5598885793871866,0.760000889260695,2.420415281132545,0.4338256829895201,0.0,200,33,10,157,16,0.8463150741156917,2.4159498986428405,0.0005101755149946294
drax,,ami,lowT,lowT,16,True,whisper,conf,rover_freq,1.7467248908296944,0.9079572235673931,2.7300270791782197,0.46795364157455593,0.0,200,35,10,155,16,0.747559323211618,2.8371648771490663,0.0002087297309307652
drax,,ami,lowT,lowT,16,True,legacy,first,rover_cg,1.16991643454039,0.2315134124225231,2.1409936220548214,0.4796185911253819,0.007,200,29,12,159,16,0.342119853840039,1.9808992911008543,0.0124947845977239
drax,,ami,lowT,lowT,16,True,whisper,first,rover_cg,1.1462882096069869,0.11922718297498903,2.150551081992609,0.5044801751129901,0.016,200,28,13,159,16,0.2485979194934419,1.9272212673202676,0.019511677295305063
drax,,ami,lowT,lowT,16,True,legacy,conf,mbr,1.448467966573816,0.656696085666521,2.293146674935142,0.41934683554561175,0.0,200,32,10,158,16,0.7398649798933198,2.311363902873052,0.0008546211834091097
drax,,ami,lowT,lowT,16,True,whisper,conf,mbr,1.5283842794759825,0.6268126428960737,2.506985618358205,0.4763812219232149,0.0,200,35,12,153,16,0.6383447661199532,2.5206104231886366,0.0015213725584072454
drax,,ami,lowT,lowT,16,True,legacy,first,conf,-0.11142061281337047,-1.190508435226745,0.8669822803626704,0.5250770813572359,0.595,200,24,25,151,16,-1.016383969040759,0.6431759280574466,0.8943305113863611
drax,,ami,lowT,lowT,16,True,whisper,first,conf,-0.38209606986899564,-1.5247512217228596,0.7072398136579194,0.574234208058843,0.757,200,23,28,149,16,-1.260229332225126,0.4032802964254574,0.4778635704927662
drax,,ami,lowT,lowT,16,True,legacy,rover_freq,rover_cg,-0.2785515320334262,-0.629610309172963,0.0,0.16744362326232712,0.9765,200,2,7,191,16,-0.5754285871625137,0.06799494359536827,0.09558070454562939
drax,,ami,lowT,lowT,16,True,whisper,rover_freq,rover_cg,-0.2183406113537118,-0.5685057301192998,0.11117596710965683,0.1737946575814963,0.9245,200,3,7,190,16,-0.5722528912623268,0.046882875109179524,0.2059032107320683
drax,,ami,main,main,16,True,legacy,conf,rover_cg,3.0033370411568407,2.3094098812273804,3.6649045949495553,0.340059296696533,0.0,600,154,40,406,16,1.7975117927330624,4.124696886503476,5.1641549365136365e-17
drax,,ami,main,main,16,True,whisper,conf,rover_cg,2.581818181818182,1.935319474103982,3.275701334207542,0.3373681884215523,0.0,600,152,40,408,16,1.4506891126722783,3.528382397848521,1.6163526847793643e-14
drax,,ami,main,main,16,True,legacy,mbr,rover_cg,0.29662588060808304,-0.07599982626369917,0.6562753606805475,0.18791637180828796,0.067,600,41,32,527,16,-0.18164202414120764,0.7717458975579367,0.11810208752601686
drax,,ami,main,main,16,True,whisper,mbr,rover_cg,0.38181818181818183,0.0,0.7567441221722673,0.19715194886083365,0.029,600,45,31,524,16,-0.02085441578378527,0.7299589147745532,0.05449585931900608
drax,,ami,main,main,16,True,legacy,cm05,rover_cg,0.5561735261401557,0.10089828341889116,1.0049404614587067,0.2329241367723492,0.0095,600,52,39,509,16,-0.09587807945282319,1.098013687998,0.023210147936815848
drax,,ami,main,main,16,True,whisper,cm05,rover_cg,0.4909090909090909,0.03644368685539001,0.9557770835795463,0.232256385662027,0.0215,600,54,40,506,16,-0.1435371239611628,1.0087285497477583,0.04659755771616421
drax,,ami,main,main,16,True,legacy,conf,rover_c,3.040415276232851,2.3608386407665964,3.7026540048533287,0.3395621103476927,0.0,600,150,35,415,16,1.8657797837596988,4.130819406771331,1.1277594031197459e-17
drax,,ami,main,main,16,True,whisper,conf,rover_c,2.690909090909091,2.042625143708582,3.3690035390709103,0.3383613349901279,0.0,600,149,33,418,16,1.608501543799092,3.5827532648742255,3.4937453582295643e-16
drax,,ami,main,main,16,True,legacy,conf,rover_freq,3.2814238042269186,2.599298048528924,3.970516111626068,0.34614390293183334,0.0,600,153,28,419,16,2.1107152286910766,4.301407332587387,2.6810657806490553e-19
drax,,ami,main,main,16,True,whisper,conf,rover_freq,2.9272727272727272,2.2856691095271557,3.612136040873628,0.3414612013988461,0.0,600,147,24,429,16,1.7696034565995966,3.8603961078854474,2.4789697677367172e-18
drax,,ami,main,main,16,True,legacy,first,rover_cg,6.729699666295884,5.709286691022272,7.77861056328636,0.5304232583997082,0.0,600,234,39,327,16,4.821430676475743,8.276147179531959,2.265485526260011e-32
drax,,ami,main,main,16,True,whisper,first,rover_cg,6.6,5.534026747847326,7.67829024778516,0.5467447611156804,0.0,600,231,35,334,16,4.865403280137203,8.063972482689152,1.2820942183472113e-30
drax,,ami,main,main,16,True,legacy,conf,mbr,2.7067111605487577,2.0660987082905957,3.340749622391864,0.32004007190911427,0.0,600,142,33,425,16,1.7904086966509174,3.5457044173049406,3.047798599240291e-16
drax,,ami,main,main,16,True,whisper,conf,mbr,2.2,1.580806162006766,2.8192885428484185,0.3202614717171743,0.0,600,129,32,439,16,1.3547363507317571,2.911143780068539,1.1374408764232702e-12
drax,,ami,main,main,16,True,legacy,first,conf,3.7263626251390436,2.7220386722024053,4.777635143448788,0.5201734132363102,0.0,600,179,86,335,16,2.545395315067446,4.775161198005618,4.584128549361031e-12
drax,,ami,main,main,16,True,whisper,first,conf,4.0181818181818185,2.9834421379553917,5.075771729491527,0.5318410182294513,0.0,600,181,81,338,16,3.144665476089836,4.869273535301488,5.029118871677677e-13
drax,,ami,main,main,16,True,legacy,rover_freq,rover_cg,-0.27808676307007785,-0.6178359719423626,0.055713936756199706,0.16946522732753222,0.9595,600,27,41,532,16,-0.6612995523559001,0.09771889613815815,0.10083413436919546
drax,,ami,main,main,16,True,whisper,rover_freq,rover_cg,-0.34545454545454546,-0.6675404371624937,-0.05641378093160043,0.1536107469419356,0.992,600,21,36,543,16,-0.6828682434088013,0.00040147743696585154,0.021498266988425732
drax,,ami,main,ref,4,True,legacy,conf,rover_cg,-0.01853911753800519,-0.3735001952137263,0.3324449023657359,0.18290940507880107,0.5455,600,37,34,529,16,-0.34895105888787076,0.32119961309770134,0.9821491782224545
drax,,ami,main,ref,4,True,whisper,conf,rover_cg,-0.34545454545454546,-0.7856059257272364,0.07347616796912634,0.21818984836416866,0.954,600,38,53,509,16,-0.7724813476293387,0.10983127251661023,0.12896226410483078
drax,,ami,main,ref,4,True,legacy,mbr,rover_cg,-0.2410085279940675,-0.5273860400342334,0.05634493885373001,0.1515295472452572,0.948,600,23,34,543,16,-0.5130350897282242,-0.018363413581382184,0.10090572909868514
drax,,ami,main,ref,4,True,whisper,mbr,rover_cg,-0.45454545454545453,-0.7746185984598524,-0.14224893261622673,0.15979984762687155,0.9985,600,21,44,535,16,-0.6667755915360786,-0.21203423359557722,0.005269722670613523
drax,,ami,main,ref,4,True,legacy,cm05,rover_cg,-0.2410085279940675,-0.5265252459116824,0.05474250467803391,0.14785635740568126,0.9555,600,21,31,548,16,-0.48945163565655025,-0.01864381888843421,0.09428634060571053
drax,,ami,main,ref,4,True,whisper,cm05,rover_cg,-0.5454545454545454,-0.9078291562353041,-0.20697392827997327,0.17580840215775634,0.9995,600,25,51,524,16,-0.7374651167603519,-0.3094298834705823,0.0028071308303307036
drax,,ami,main,ref,4,True,legacy,conf,rover_c,0.11123470522803114,-0.24278082019324584,0.4613796698411885,0.18054069795049263,0.288,600,34,27,539,16,-0.2634066954610746,0.47860032969913147,0.4684111749023119
drax,,ami,main,ref,4,True,whisper,conf,rover_c,0.05454545454545454,-0.36067512257970097,0.45951641325870535,0.2053996008544422,0.418,600,38,33,529,16,-0.4717183517443982,0.5262084648412726,0.5708361317877944
drax,,ami,main,ref,4,True,legacy,conf,rover_freq,0.2410085279940675,-0.11714403032593236,0.6034341595102828,0.18286588838204687,0.1055,600,40,27,533,16,-0.09544846975474493,0.5990205357374868,0.14278285370312724
drax,,ami,main,ref,4,True,whisper,conf,rover_freq,0.16363636363636364,-0.2243547907868229,0.5646165728485716,0.19850429193755662,0.219,600,40,31,529,16,-0.3187003521832304,0.624873038962737,0.32080904129145416
drax,,ami,main,ref,4,True,legacy,first,rover_cg,0.2410085279940675,-0.1844943340318469,0.6786373897161081,0.21644033949960848,0.132,600,49,43,508,16,-0.1841473873970848,0.6525229737837317,0.3469063375016923
drax,,ami,main,ref,4,True,whisper,first,rover_cg,0.01818181818181818,-0.36385747958430903,0.4097874656880667,0.1993180152270307,0.4795,600,44,44,512,16,-0.3231439359769063,0.36633628690505354,0.9214038509345542
drax,,ami,main,ref,4,True,legacy,conf,mbr,0.22246941045606228,-0.1513611500124813,0.5822762369646608,0.18823640413033674,0.1385,600,39,29,532,16,-0.18669704565495118,0.6661418382451889,0.22832774349850316
drax,,ami,main,ref,4,True,whisper,conf,mbr,0.10909090909090909,-0.2939966698711833,0.5083078339340816,0.2087969319212182,0.3225,600,39,31,530,16,-0.41902375475329795,0.6103439795068734,0.4488772786504437
drax,,ami,main,ref,4,True,legacy,first,conf,0.25954764553207266,-0.19043909195178427,0.7657826260615576,0.24283475646833538,0.1505,600,43,40,517,16,-0.3336931580914975,0.9031165380363678,0.33793758549065467
drax,,ami,main,ref,4,True,whisper,first,conf,0.36363636363636365,-0.10402716032607713,0.8726404051456464,0.2473555728295907,0.075,600,45,36,519,16,-0.22902564136311673,0.9905251802369455,0.14793501261148245
drax,,ami,main,ref,4,True,legacy,rover_freq,rover_cg,-0.25954764553207266,-0.4862742195949015,-0.035859169442860446,0.11509700730817723,0.9905,600,12,26,562,16,-0.4212607861936721,-0.09856769192269563,0.023140931308743735
drax,,ami,main,ref,4,True,whisper,rover_freq,rover_cg,-0.509090909090909,-0.7345008988013709,-0.2953714857094071,0.1098587341812231,1.0,600,4,32,564,16,-0.6866158553084737,-0.31737338519880587,3.061253473062126e-06
