model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
drax,,main,legacy,cm05,rover_cg,16,0,19,0.713867704418826,0.49304348069067777,0.9346919281469741,0.2097901910744205,0.9155920894841041,19
drax,,main,legacy,conf,mbr,19,0,19,1.1697179873347214,0.9607170455553633,1.3787189291140796,0.16237282442722215,0.8154822837764912,19
drax,,main,legacy,conf,rover_c,19,0,19,1.7665168009003538,1.4215579489375385,2.111475652863169,0.5229219239348966,0.9309923748569303,19
drax,,main,legacy,conf,rover_cg,19,0,19,1.7270958751859262,1.3701600874811315,2.084031662890721,0.5630841049659884,0.9333295904105088,19
drax,,main,legacy,conf,rover_freq,19,0,19,1.8635010548799418,1.4791831611219421,2.247818948637941,0.6602449753080375,0.9421284267397062,19
drax,,main,legacy,first,conf,19,0,19,4.070706030196283,3.5262806004925547,4.615131459900011,1.2685591267566856,0.916413163603791,19
drax,,main,legacy,first,rover_cg,19,0,19,5.998399778116021,5.172514255973391,6.824285300258651,3.1482546319576583,0.964974667286491,19
drax,,main,legacy,mbr,rover_cg,12,0,19,0.5216987338859999,0.3038880707394921,0.7395093970325076,0.21539888692217488,0.9450702543139432,17
drax,,main,legacy,rover_freq,rover_cg,0,6,19,-0.11676245743612088,-0.1947751861735015,-0.03874972869874024,0.020104634249843902,0.7130018048954853,4
drax,,main,whisper,cm05,rover_cg,17,0,19,0.8252111976469857,0.5781191869140323,1.072303208379939,0.26366885589403566,0.9199280402019593,19
drax,,main,whisper,conf,mbr,18,0,19,0.9776928570131779,0.7978810243908625,1.1575046896354932,0.10712724143206796,0.7340842665547077,19
drax,,main,whisper,conf,rover_c,19,0,19,1.7433799574217153,1.4046372741803665,2.082122640663064,0.4988995092736667,0.9245007215411335,19
drax,,main,whisper,conf,rover_cg,19,0,19,1.6993289859084115,1.352790832899867,2.045867138916956,0.524176737636369,0.9260772066906812,19
drax,,main,whisper,conf,rover_freq,19,0,19,1.816329067740569,1.4483102338912857,2.1843479015898524,0.5982049164223333,0.935118928596323,19
drax,,main,whisper,first,conf,19,0,19,4.089510869605491,3.541942277261157,4.637079461949826,1.286256765689936,0.9168779147058832,19
drax,,main,whisper,first,rover_cg,19,0,19,5.992103111815561,5.157119788426807,6.827086435204316,3.2205333133657934,0.9665660439945466,19
drax,,main,whisper,mbr,rover_cg,15,0,19,0.6820504168611219,0.4380320698826127,0.9260687638396311,0.27355854311187144,0.9560301883612172,18
drax,,main,whisper,rover_freq,rover_cg,0,5,19,-0.10817550382777795,-0.17352563209767546,-0.04282537555788045,0.01425291331566073,0.724045213849596,3
drax,,ref,legacy,cm05,rover_cg,5,1,19,0.024615290449432583,-0.06926476278849157,0.11849534368735674,0.03231978187577128,0.7955894470247227,10
drax,,ref,legacy,conf,mbr,7,0,19,0.2002305622283833,0.12103289335162805,0.2794282311051386,0.011393735586518416,0.3969840636936631,15
drax,,ref,legacy,conf,rover_c,10,0,19,0.2661879461702734,0.1901039581280363,0.34227193421251056,0.011209649252600757,0.4291334647380584,18
drax,,ref,legacy,conf,rover_cg,8,0,19,0.1995118661074406,0.10785636981756136,0.29116736239731983,0.021949393953682325,0.5794338716677716,15
drax,,ref,legacy,conf,rover_freq,8,0,19,0.26261138978528,0.1952266535011812,0.3299961260693788,0.005421945087366551,0.25696920885628377,19
drax,,ref,legacy,first,conf,7,0,19,0.22104325692179727,0.1424159911791443,0.29967052266445027,0.00729569925230645,0.2570631937610883,18
drax,,ref,legacy,first,rover_cg,14,0,19,0.4628665818469107,0.3338736339771493,0.5918595297166721,0.05751022296217175,0.7590120627265677,18
drax,,ref,legacy,mbr,rover_cg,2,1,19,0.022936621682958187,-0.07794319514850659,0.12381643851442295,0.03922603066300733,0.8209180354813275,12
drax,,ref,legacy,rover_freq,rover_cg,0,4,19,-0.06752637396131662,-0.11367065243477545,-0.021382095487857793,0.005070761256522768,0.5263404258135471,5
drax,,ref,whisper,cm05,rover_cg,0,5,19,-0.06867290712314077,-0.15788077491525082,0.020534960668969288,0.026670313873742982,0.732179863672969,8
drax,,ref,whisper,conf,mbr,3,0,19,0.12986547128524084,0.06704780178029943,0.19268314079018226,0.0020886003722960793,0.10906918939160842,16
drax,,ref,whisper,conf,rover_c,7,0,19,0.18448753828537867,0.1187488189695062,0.25022625760125117,0.004917196534939204,0.24492615920253646,17
drax,,ref,whisper,conf,rover_cg,3,1,19,0.08097498164841549,-0.015793064200221488,0.17774302749705245,0.025658380701841517,0.6084209246610451,14
drax,,ref,whisper,conf,rover_freq,8,0,19,0.2366962895956186,0.16875461398489355,0.3046379652063436,0.006330872160947584,0.29910566122307475,19
drax,,ref,whisper,first,conf,5,0,19,0.21974529207101098,0.1545448665101773,0.2849457176318447,0.0012242491178531235,0.058154634370029865,19
drax,,ref,whisper,first,rover_cg,12,0,19,0.35061717474036225,0.23030617548622612,0.4709281739944984,0.05097007418080141,0.7766580505963672,17
drax,,ref,whisper,mbr,rover_cg,1,4,19,-0.03069106265245794,-0.11652753073762939,0.05514540543271351,0.026172903210270042,0.7613933548949275,10
drax,,ref,whisper,rover_freq,rover_cg,0,13,19,-0.17564252581811116,-0.2287959825353174,-0.1224890691009049,0.010196653502792615,0.7744282766576511,0
parakeet-ctc,,sample,legacy,cm05,rover_cg,5,0,7,0.3547747704336067,0.13905503435471803,0.5704945065124954,0.047411353811372556,0.6359520632927688,6
parakeet-ctc,,sample,legacy,conf,mbr,6,0,7,1.1708601366272533,0.6006399776130628,1.741080295641444,0.4911209468698713,0.8926362518547494,7
parakeet-ctc,,sample,legacy,conf,rover_c,7,0,7,1.4900519512659085,0.8637513916522138,2.116352510879603,0.6131857678650637,0.9072744631072617,7
parakeet-ctc,,sample,legacy,conf,rover_cg,7,0,7,1.5026694358363628,0.8607667986754478,2.1445720729972777,0.6529140957271768,0.9120559074222033,7
parakeet-ctc,,sample,legacy,conf,rover_freq,7,0,7,1.4993193079691998,0.8458300064869999,2.1528086094514,0.6634341817705899,0.9105627562871482,7
parakeet-ctc,,sample,legacy,first,conf,5,0,7,1.3350631087479103,0.6765973549148674,1.9935288625809533,0.5767972132160577,0.7976452779011601,7
parakeet-ctc,,sample,legacy,first,rover_cg,7,0,7,2.852424751467096,1.8528307851143162,3.852018717819876,1.6007825261121742,0.9238916392627721,7
parakeet-ctc,,sample,legacy,mbr,rover_cg,4,0,7,0.2462654186318506,0.03899132793557647,0.45353950932812476,0.049147024359057545,0.7348607700958066,5
parakeet-ctc,,sample,legacy,rover_freq,rover_cg,0,0,7,-0.017882149291543796,-0.10180718807465694,0.06604288949156933,0.0012420324155153126,0.08921953016602933,3
parakeet-ctc,,sample,whisper,cm05,rover_cg,2,0,7,0.2237007845095424,-0.05590354017524396,0.5033051091943288,0.08309067241556548,0.6825804905539561,4
parakeet-ctc,,sample,whisper,conf,mbr,6,0,7,1.1954729917749491,0.6049224151041629,1.7860235684457355,0.5263777545046964,0.8881003152302642,7
parakeet-ctc,,sample,whisper,conf,rover_c,6,0,7,1.446879677376178,0.8070331838969164,2.0867261708554397,0.621245498565505,0.8952390195415265,7
parakeet-ctc,,sample,whisper,conf,rover_cg,6,0,7,1.353871248154995,0.7246007421831737,1.9831417541268164,0.5943471831246075,0.8900909278635438,7
parakeet-ctc,,sample,whisper,conf,rover_freq,7,0,7,1.641793012946353,0.9649513286352097,2.318634697257496,0.711833770677085,0.9063716970477795,7
parakeet-ctc,,sample,whisper,first,conf,4,0,7,1.3637962218957072,0.6948368996176234,2.032755544173791,0.603124464133852,0.8016420744523982,7
parakeet-ctc,,sample,whisper,first,rover_cg,7,0,7,2.8544707408226633,1.8264571549877424,3.8824843266575844,1.7184376854317653,0.9301979304871916,7
parakeet-ctc,,sample,whisper,mbr,rover_cg,0,0,7,0.15445563863194373,0.042817509818717195,0.26609376744517027,0.0,0.0,6
parakeet-ctc,,sample,whisper,rover_freq,rover_cg,0,3,7,-0.18891535682303864,-0.31536530503063975,-0.06246540861543756,0.01512956359358753,0.6514949947621299,1
whisfusion,,main,legacy,cm05,rover_cg,14,0,14,3.0156859202552293,2.351042820672691,3.6803290198377674,1.5112648288347954,0.9534626246664036,14
whisfusion,,main,legacy,conf,mbr,14,0,14,1.6349968215187098,1.318446397335617,1.9515472457018026,0.25391154630876056,0.7379609894753602,14
