model,arm,set,lang,n,k,pairwise,unique,first,conf,mbr,rover_freq,rover,gain_vs_mbr,gain_vs_conf,oracle_cand,oracle_comp,control
drax,lowT,ami,en,200,16,10.023,3.69,12.479,12.591,11.142,11.031,11.309,-0.167,1.281,7.911,6.351,7.019
drax,lowT,common_voice,en,147,16,7.755,4.49,14.922,14.477,13.215,13.289,13.437,-0.223,1.039,10.171,8.463,9.354
drax,lowT,earnings22,en,200,16,10.572,6.885,22.048,21.466,20.852,20.546,20.914,-0.061,0.552,16.13,10.549,12.236
drax,lowT,fleurs-de,de,200,16,6.403,7.08,9.631,8.566,8.069,7.951,7.88,0.189,0.686,5.868,4.733,5.655
drax,lowT,fleurs-en,en,200,16,5.535,6.245,11.039,10.531,9.977,9.977,10.254,-0.277,0.277,7.344,5.358,6.074
drax,lowT,fleurs-es,es,200,16,3.351,4.985,6.607,6.249,5.99,6.01,5.95,0.04,0.299,4.577,3.383,3.741
drax,lowT,fleurs-fr,fr,200,16,7.403,8.085,12.85,12.482,11.827,11.827,11.766,0.061,0.716,8.615,6.343,7.817
drax,lowT,fleurs-it,it,200,16,4.284,5.725,6.537,6.101,5.582,5.582,5.644,-0.062,0.457,4.129,2.947,3.569
drax,lowT,fleurs-pt,pt,200,16,8.225,9.395,13.13,12.666,11.57,11.423,11.633,-0.063,1.033,8.261,4.763,6.407
drax,lowT,gigaspeech,en,200,16,6.736,5.655,14.016,13.67,12.899,12.846,13.085,-0.186,0.585,9.574,7.34,8.537
drax,lowT,ls-tc-babble0,en,200,16,30.916,12.155,39.881,40.605,41.303,40.191,40.243,1.06,0.362,31.61,26.544,29.801
drax,lowT,ls-tc-babble10,en,200,16,3.683,3.8,4.885,4.678,4.368,4.316,4.265,0.103,0.414,2.895,2.378,2.714
drax,lowT,ls-tc-babble5,en,200,16,8.167,6.705,10.52,10.287,9.486,9.486,9.486,0.0,0.801,7.159,5.609,6.746
drax,lowT,ls-tc-white5,en,200,16,6.109,5.405,8.167,8.064,7.263,7.263,7.185,0.078,0.879,5.118,4.161,4.937
drax,lowT,ls-test-clean,en,200,16,2.047,2.385,2.817,2.533,2.61,2.636,2.533,0.078,0.0,1.422,1.215,1.37
drax,lowT,ls-test-other,en,200,16,3.872,3.84,5.487,5.319,4.815,4.899,4.871,-0.056,0.448,3.555,2.996,3.387
drax,lowT,slr83,en,200,16,4.646,3.53,8.999,9.143,8.565,8.493,8.421,0.145,0.723,6.216,4.734,5.421
drax,lowT,spgispeech,en,200,16,3.384,4.66,8.081,7.483,7.236,7.174,7.504,-0.268,-0.021,5.112,3.03,3.566
drax,lowT,voxpopuli,en,200,16,4.142,3.62,7.929,7.443,7.066,7.147,7.147,-0.081,0.297,5.529,4.072,4.477
drax,main,ami,en,600,16,26.783,8.452,17.835,14.108,11.402,10.827,11.105,0.297,3.003,7.861,4.042,6.6
drax,main,common_voice,en,455,16,21.514,8.789,20.942,14.895,13.358,12.986,13.086,0.273,1.809,9.814,7.46,9.244
drax,main,earnings22,en,600,16,32.913,13.582,37.743,25.282,23.208,22.231,22.74,0.469,2.542,18.273,9.899,14.266
drax,main,fleurs-de,de,546,16,13.57,11.363,12.608,9.737,8.446,8.042,7.937,0.509,1.8,6.181,4.241,5.97
drax,main,fleurs-en,en,600,16,14.633,11.678,14.427,11.359,10.157,9.477,9.636,0.521,1.723,7.935,4.837,7.172
drax,main,fleurs-es,es,400,16,9.079,10.255,9.517,6.923,6.163,6.056,5.997,0.166,0.926,4.69,3.081,4.222
drax,main,fleurs-fr,fr,468,16,15.777,12.453,16.11,12.724,11.765,11.065,11.169,0.596,1.555,9.165,5.563,8.621
drax,main,fleurs-it,it,400,16,11.655,10.9,10.477,7.093,6.358,6.021,5.874,0.483,1.219,4.613,2.953,4.298
drax,main,fleurs-pt,pt,400,16,19.196,14.022,19.342,14.746,13.204,12.023,12.065,1.138,2.681,10.746,5.213,9.384
drax,main,gigaspeech,en,600,16,20.886,11.27,20.391,15.521,14.451,13.894,13.912,0.539,1.609,11.252,7.336,10.138
drax,main,ls-dev-clean,en,400,16,7.863,6.6,5.32,3.202,2.819,2.845,2.779,0.04,0.423,1.628,1.112,1.522
drax,main,ls-dev-other,en,400,16,12.468,8.695,9.989,6.756,5.789,5.347,5.471,0.318,1.285,4.421,2.501,4.172
drax,main,ls-tc-babble0,en,600,16,57.903,15.307,53.796,42.814,41.128,35.951,36.857,4.27,5.957,35.07,23.383,32.343
drax,main,ls-tc-babble10,en,600,16,11.579,8.925,8.121,5.302,4.136,4.069,4.111,0.025,1.191,2.735,1.812,2.668
drax,main,ls-tc-babble5,en,600,16,21.904,11.968,16.52,11.897,10.118,9.078,9.422,0.696,2.475,7.761,4.346,7.4
drax,main,ls-tc-white5,en,600,16,16.854,10.773,11.905,8.768,7.408,6.863,7.022,0.386,1.745,5.621,3.247,5.378
drax,main,ls-test-clean,en,600,16,7.807,6.793,5.235,2.811,2.383,2.274,2.408,-0.025,0.403,1.376,0.94,1.334
drax,main,ls-test-other,en,600,16,14.074,9.0,10.257,7.152,5.947,5.768,5.731,0.216,1.421,4.027,2.465,3.896
drax,main,slr83,en,600,16,12.029,7.787,11.088,7.654,7.001,6.771,6.832,0.169,0.822,4.873,3.555,4.498
drax,main,spgispeech,en,600,16,11.589,11.222,11.584,8.388,7.561,7.351,7.561,0.0,0.827,5.249,2.53,4.212
drax,main,voxpopuli,en,600,16,13.42,8.928,12.34,8.555,7.672,7.56,7.653,0.019,0.902,5.868,3.58,5.068
parakeet-ctc,sample,ami,en,200,32,23.567,14.865,23.008,21.838,17.103,16.825,17.326,-0.223,4.513,11.532,7.521,10.752
parakeet-ctc,sample,common_voice,en,147,32,9.54,9.755,13.734,12.843,11.878,11.433,11.21,0.668,1.633,8.389,6.83,8.092
parakeet-ctc,sample,earnings22,en,200,32,19.449,21.505,28.734,25.36,24.41,23.735,23.643,0.767,1.717,19.841,12.634,16.099
parakeet-ctc,sample,fleurs-en,en,200,32,5.891,12.745,11.732,11.016,10.3,10.139,10.023,0.277,0.993,8.106,4.388,5.727
parakeet-ctc,sample,ls-dev-other,en,200,32,4.944,8.485,5.419,4.246,4.218,4.19,3.939,0.279,0.307,2.626,1.76,2.458
parakeet-ctc,sample,ls-tc-babble5,en,200,32,16.711,20.55,15.224,13.001,12.2,11.734,11.734,0.465,1.266,9.537,6.927,8.814
parakeet-ctc,sample,ls-test-clean,en,200,32,3.328,7.05,3.205,2.585,1.887,1.835,1.861,0.026,0.724,1.086,0.724,1.008
parakeet-ctc,sample,ls-test-other,en,200,32,5.008,8.725,4.787,3.975,3.555,3.471,3.555,0.0,0.42,2.044,1.596,1.96
whisfusion,main,ami,en,400,32,41.415,19.22,46.21,36.633,35.366,34.34,33.261,2.104,3.372,28.325,21.176,27.165
whisfusion,main,common_voice,en,296,32,33.741,21.74,42.131,32.62,31.322,30.405,28.953,2.368,3.667,24.293,16.616,22.269
whisfusion,main,earnings22,en,400,32,39.955,28.392,48.049,39.281,37.246,35.272,34.399,2.846,4.881,31.66,18.271,28.034
whisfusion,main,fleurs-en,en,400,32,30.478,29.662,34.557,27.96,25.688,23.967,23.474,2.214,4.486,21.96,11.45,19.367
whisfusion,main,gigaspeech,en,400,32,30.898,26.03,32.077,24.927,23.675,21.704,21.478,2.197,3.449,19.268,11.545,18.029
whisfusion,main,ls-dev-clean,en,400,32,13.439,16.628,11.949,7.066,6.14,5.399,5.32,0.82,1.747,4.698,2.422,4.539
whisfusion,main,ls-dev-other,en,400,32,21.988,21.818,21.594,15.308,14.341,13.001,12.628,1.713,2.68,11.246,5.941,10.638
whisfusion,main,ls-tc-babble0,en,400,32,62.275,30.855,76.625,68.808,66.273,60.656,58.283,7.991,10.526,59.351,38.076,48.092
whisfusion,main,ls-tc-babble10,en,400,32,25.502,24.368,23.226,15.944,14.44,11.917,11.396,3.045,4.548,11.669,5.319,10.911
whisfusion,main,ls-tc-babble5,en,400,32,39.685,28.358,39.829,31.415,29.141,25.103,24.407,4.735,7.009,25.475,13.496,23.114
whisfusion,main,ls-tc-white5,en,400,32,30.497,25.892,30.347,23.686,21.971,19.498,18.964,3.007,4.722,18.578,10.501,17.51
whisfusion,main,ls-test-clean,en,400,32,14.575,17.805,12.464,7.593,6.909,5.816,5.505,1.404,2.088,4.934,2.001,4.673
whisfusion,main,ls-test-other,en,400,32,22.212,21.632,21.311,15.392,13.466,12.334,11.923,1.543,3.469,10.918,6.131,10.507
whisfusion,main,slr83,en,400,32,27.059,23.532,27.852,19.923,18.66,17.451,17.048,1.611,2.875,14.485,8.588,13.349
whisfusion,main,spgispeech,en,400,32,27.626,29.748,27.064,19.328,17.197,15.325,14.878,2.319,4.45,14.348,6.145,13.277
whisfusion,main,voxpopuli,en,400,32,24.097,23.52,28.497,21.106,20.107,18.683,18.054,2.053,3.052,16.616,9.499,15.398
whisper-small,sample,ami,en,352,16,17.086,4.608,20.72,25.227,19.624,19.155,19.812,-0.188,5.415,12.019,10.798,11.643
whisper-small,sample,common_voice,en,147,16,11.766,5.204,17.446,14.996,15.813,15.516,14.922,0.891,0.074,9.428,7.572,8.834
whisper-small,sample,earnings22,en,200,16,15.899,7.13,23.704,17.173,21.987,21.19,21.159,0.828,-3.987,11.806,8.954,10.886
whisper-small,sample,fleurs-en,en,200,16,5.335,5.22,8.245,7.529,8.245,8.176,8.06,0.185,-0.531,4.804,3.51,4.226
whisper-small,sample,ls-dev-other,en,400,16,6.957,5.155,9.436,8.4,7.999,7.93,7.765,0.235,0.636,5.057,3.993,4.836
whisper-small,sample,ls-tc-babble5,en,200,16,16.877,8.99,16.749,18.635,15.456,15.353,15.12,0.336,3.515,9.873,7.185,9.382
whisper-small,sample,ls-test-clean,en,400,16,3.575,3.282,4.548,5.356,4.287,4.2,4.113,0.174,1.243,2.411,2.162,2.374
whisper-small,sample,ls-test-other,en,400,16,7.428,5.232,9.714,8.879,8.652,8.581,8.765,-0.113,0.113,5.31,4.007,5.041
whisper-turbo,sample,ami,en,400,16,11.953,3.58,18.694,17.238,17.831,17.4,17.939,-0.108,-0.701,11.708,10.602,11.06
whisper-turbo,sample,common_voice,en,147,16,6.794,3.51,13.363,12.621,12.027,11.804,11.284,0.742,1.336,8.241,6.31,7.201
whisper-turbo,sample,earnings22,en,307,16,7.089,4.117,17.444,16.458,16.725,16.704,16.519,0.205,-0.062,12.78,10.499,11.116
whisper-turbo,sample,fleurs-en,en,200,16,3.238,3.5,5.912,5.289,5.589,5.589,5.566,0.023,-0.277,3.695,3.025,3.256
whisper-turbo,sample,ls-dev-other,en,400,16,3.205,3.085,5.747,5.471,5.43,5.402,5.319,0.111,0.152,3.357,2.722,3.136
whisper-turbo,sample,ls-tc-babble5,en,200,16,6.944,4.875,9.253,7.444,7.573,7.676,7.392,0.181,0.052,4.885,4.11,4.575
whisper-turbo,sample,ls-test-clean,en,400,16,2.219,2.16,3.219,3.815,3.057,3.032,3.032,0.025,0.783,1.914,1.752,1.852
whisper-turbo,sample,ls-test-other,en,400,16,3.445,2.968,5.565,4.999,5.041,5.055,4.843,0.198,0.156,3.03,2.521,2.818
