model,precision,kind,arm,K,T,steps,n,audio_h,s_per_utt,encode_s_per_utt,decode_s_per_utt,rtf,rtf_decode,ms_per_candidate,rover_ms_per_utt,peak_mem_mb
parakeet-ctc,,main,greedy,1,,,1600,2.878226944444445,0.18098781377077103,0.1800032977759838,0.0009845159947872162,0.0279474238464164,0.00015202507404583142,0.9845159947872162,0.022528118939883646,2167.23046875
parakeet-ctc,,main,sample,32,1.0,,1600,2.878226944444445,0.19806522905826568,0.1800032977759838,0.018061931282281875,0.03058445091082068,0.0027890521384501083,0.5644353525713086,0.2691654815772463,2167.23046875
whisper-turbo,,main,greedy,1,,,2507,4.3716019444444445,0.3076445185431678,0.005624742048913027,0.30201977649425477,0.04900725801746345,0.04811124600275864,302.0197764942548,0.023139771801140997,3811.376953125
whisper-turbo,,main,beam,8,,,2507,4.3716019444444445,0.4844489869334694,0.005624742048913027,0.4788242448845564,0.07717191455701485,0.07627590254231002,59.85303061056955,0.06779380603096985,3811.376953125
whisper-turbo,,main,sample,16,0.6,,2507,4.3716019444444445,0.41464406936629267,0.005624742048913027,0.40901932731737967,0.06605210776734055,0.06515609575263574,25.56370795733623,0.12101752241238795,3811.376953125
drax,,main,main,16,1.3,16.0,11414,25.17016888888889,3.718367269322399,0.0986782381846647,3.6196890311377343,0.468383428628893,0.4559534430507297,226.2305644461084,0.15703070370041708,4336.244140625
drax,,main,ref,4,0.1,16.0,11414,25.17016888888889,1.0500163275514152,0.0986782381846647,0.9513380893667505,0.13226510777255027,0.119835122194387,237.8345223416876,0.04755080308811785,4336.244140625
whisfusion,,main,main,32,,4.0,6400,12.227159444444446,2.367124488502741,0.03822711151093244,2.3288973769918084,0.34416998747863853,0.3386119255541539,72.77804303099401,0.3480311308767471,4205.189453125
drax,,lowT,lowT,16,0.4,16.0,3800,8.773485277777777,3.4779346713266874,0.17912732670181675,3.298807344624871,0.41843727412146875,0.39688610729717,206.17545903905443,0.14184040565785963,4336.244140625
whisper-small,,main,greedy,1,,,2352,4.150071388888889,0.32518334023601075,0.005951180479694116,0.3192321597563166,0.051192641213273465,0.05025576465966126,319.2321597563166,0.025919530230535018,2744.48486328125
whisper-small,,main,beam,8,,,2352,4.150071388888889,0.5416460611765617,0.005951180479694116,0.5356948806968675,0.08526972031922028,0.0843328437656081,66.96186008710845,0.07230013049151805,2744.48486328125
whisper-small,,main,sample,16,0.6,,2352,4.150071388888889,0.40310453144536273,0.005951180479694116,0.3971533509656686,0.0634595414228479,0.06252266486923569,24.822084435354288,0.12496868203566767,2744.48486328125
whisfusion,,kscale,K64,64,,4.0,200,0.3624236111111114,3.9480396795272825,0.03200786232948303,3.9160318171977995,0.6051910831059847,0.6002846296649174,61.18799714371562,0.670145,7705.478515625
whisfusion,,ablation,base16,16,,4.0,200,0.3609611111111113,1.14598397175471,0.014814674059549969,1.13116929769516,0.17637849133558697,0.1740983635810505,70.6980811059475,0.16544,2454.1171875
whisfusion,,ablation,steps8,16,,8.0,200,0.3609611111111113,2.262902548710505,0.014814674059549969,2.248087874650955,0.34828352526595724,0.34600339751142073,140.5054921656847,0.15378999999999998,2454.1171875
whisfusion,,ablation,fss_T1,16,,4.0,200,0.3609611111111113,1.1778396920363108,0.014814674059549969,1.163025017976761,0.18128140797505274,0.17900128022051626,72.68906362354755,0.175655,2454.1171875
drax,,sweepT,T0.1,16,0.1,16.0,200,0.3609611111111113,3.791112172603607,0.028838598728179933,3.762273573875427,0.5834903994895734,0.5790518482870461,235.1420983672142,0.130865,4336.244140625
drax,,sweepT,T0.4,16,0.4,16.0,200,0.3609611111111113,3.775720989704132,0.028838598728179933,3.7468823909759523,0.5811215412100611,0.5766829900075339,234.180149435997,0.12932,4336.244140625
drax,,sweepT,T0.7,16,0.7,16.0,200,0.3609611111111113,3.7749359238147737,0.028838598728179933,3.7460973250865934,0.5810007116517278,0.5765621604492007,234.1310828179121,0.13756500000000002,4336.244140625
drax,,sweepT,T1,16,1.0,16.0,200,0.3609611111111113,3.776427426338196,0.028838598728179933,3.747588827610016,0.5812302689329711,0.576791717730444,234.224301725626,0.126305,4336.244140625
drax,,sweepT,T1.3,16,1.3,16.0,200,0.3609611111111113,3.7766574561595916,0.028838598728179933,3.7478188574314117,0.5812656728425022,0.5768271216399751,234.23867858946323,0.14456,4336.244140625
drax,,sweepT,T1.6,16,1.6,16.0,200,0.3609611111111113,3.7778397393226624,0.028838598728179933,3.7490011405944825,0.5814476381454851,0.5770090869429579,234.31257128715515,0.18344000000000002,4336.244140625
drax,,sweepT,T2,16,2.0,16.0,200,0.3609611111111113,3.7827225041389467,0.028838598728179933,3.7538839054107664,0.5821991448969487,0.5777605936944215,234.6177440881729,0.31221,4336.244140625
drax,,kscale,K64,64,1.3,16.0,200,0.3624236111111114,14.403586468696595,0.18579251050949097,14.217793958187103,2.207911470799836,2.1794315213071096,222.1530305966735,0.6346399999999999,5953.546875
