model,precision,set,kind,arm,k,k_is_main,norm,a,b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
drax,,ami,lowT,lowT,16,True,legacy,conf,rover_cg,1.2813370473537604,0.48976481633355656,2.1181956272722746,0.4213373548269694,0.001,200,31,12,157,16,0.5751281745268856,2.1074457655257888,0.0033376956854330826
drax,,ami,lowT,lowT,16,True,whisper,conf,rover_cg,-6.222707423580786,-7.991904514789828,-4.611969710295482,0.8694574103761536,1.0,200,18,63,119,16,-7.9343281913704455,-3.9700604951159657,8.083689492653898e-10
drax,,ami,lowT,lowT,16,True,legacy,mbr,rover_cg,-0.1671309192200557,-0.5476526279464058,0.1770956316410862,0.18312856475565772,0.858,200,4,7,189,16,-0.4961025644609875,0.18204990787329028,0.36571229628151325
drax,,ami,lowT,lowT,16,True,whisper,mbr,rover_cg,-7.751091703056769,-9.495582509859046,-6.223106045196592,0.833579919976973,1.0,200,2,64,134,16,-9.383611077717067,-5.762293393669888,3.7605362017095434e-13
drax,,ami,lowT,lowT,16,True,legacy,cm05,rover_cg,-0.055710306406685235,-0.4592525117009437,0.32961785520343584,0.20045428010334976,0.6465,200,6,7,187,16,-0.49920449646917214,0.31717982465603667,0.7815112949987133
drax,,ami,lowT,lowT,16,True,whisper,cm05,rover_cg,-7.860262008733624,-9.560256804022519,-6.330420106586539,0.8202906993056298,1.0,200,1,66,133,16,-9.51915967867152,-5.855115605868637,1.8343679103557988e-13
drax,,ami,lowT,lowT,16,True,legacy,conf,rover_c,1.392757660167131,0.6008897352579087,2.2199378723757905,0.4193541123322326,0.0005,200,31,10,159,16,0.6647026004536915,2.2333060910533145,0.0012212577210932638
drax,,ami,lowT,lowT,16,True,whisper,conf,rover_c,-6.004366812227074,-7.760949323131647,-4.342913311939887,0.869150267745405,1.0,200,18,60,122,16,-7.749985275856822,-3.7970590087537017,1.9371069225640098e-09
drax,,ami,lowT,lowT,16,True,legacy,conf,rover_freq,1.5598885793871866,0.760000889260695,2.420415281132545,0.4338256829895201,0.0,200,33,10,157,16,0.8463150741156917,2.4159498986428405,0.0005101755149946295
drax,,ami,lowT,lowT,16,True,whisper,conf,rover_freq,-5.895196506550218,-7.656972216145264,-4.258733360600878,0.8659956131862275,1.0,200,18,60,122,16,-7.692501258178158,-3.5993457803623516,3.461857178181276e-09
drax,,ami,lowT,lowT,16,True,legacy,first,rover_cg,1.16991643454039,0.2315134124225231,2.1409936220548214,0.4796185911253819,0.007,200,29,12,159,16,0.342119853840039,1.9808992911008543,0.012494784597723902
drax,,ami,lowT,lowT,16,True,whisper,first,rover_cg,-6.604803493449782,-8.606754106867891,-4.835859240069085,0.9446315549914516,1.0,200,16,67,117,16,-8.247207371689134,-4.825159489633173,2.3908689978690653e-10
drax,,ami,lowT,lowT,16,True,legacy,conf,mbr,1.448467966573816,0.656696085666521,2.293146674935142,0.41934683554561175,0.0,200,32,10,158,16,0.7398649798933198,2.311363902873052,0.0008546211834091097
drax,,ami,lowT,lowT,16,True,whisper,conf,mbr,1.5283842794759825,0.6268126428960737,2.506985618358205,0.4763812219232149,0.0,200,35,12,153,16,0.6383447661199532,2.5206104231886366,0.0015213725584072458
drax,,ami,lowT,lowT,16,True,legacy,first,conf,-0.11142061281337047,-1.190508435226745,0.8669822803626704,0.5250770813572359,0.595,200,24,25,151,16,-1.016383969040759,0.6431759280574466,0.8943305113863611
drax,,ami,lowT,lowT,16,True,whisper,first,conf,-0.38209606986899564,-1.5247512217228596,0.7072398136579194,0.574234208058843,0.757,200,23,28,149,16,-1.260229332225126,0.4032802964254574,0.4778635704927662
drax,,ami,lowT,lowT,16,True,legacy,rover_freq,rover_cg,-0.2785515320334262,-0.629610309172963,0.0,0.16744362326232712,0.9765,200,2,7,191,16,-0.5754285871625137,0.06799494359536827,0.0955807045456294
