model,set,label,a,b,wer_a,wer_b,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
drax,ami,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,11.475713756025213,11.10493140526511,0.3707823507601038,-0.1749487064159418,0.8866941107003731,0.27574285307426044,0.099,600,73,60,467,16,-0.2618092266897101,1.0563166366639205,0.18207714846034873
drax,common_voice,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,13.531598513011152,13.085501858736059,0.44609665427509293,-0.176634977784792,1.108681011587659,0.3211264575324094,0.087,455,58,45,352,455,,,0.13179674013992426
drax,earnings22,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,20.965008473731434,22.73950752666733,-1.7744990529358988,-2.7744899789965656,-0.854443104141536,0.5001070981591706,1.0,600,142,157,301,6,-2.7158738056751206,-1.2259835315645013,0.03575106365392558
drax,fleurs-de,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,9.244951712028096,7.936786654960492,1.308165057067603,0.975124388242759,1.6517995041162123,0.17422957122941932,0.0,546,158,54,334,300,0.9841802764991444,1.6610056778745896,1.7079749811620324e-12
drax,fleurs-en,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,9.953143893591294,9.635731559854896,0.3174123337363966,-0.00759275911295555,0.6305704861113863,0.16311181076095999,0.028,600,119,94,387,345,-0.007563384865080848,0.6497104114813087,0.06642948785899873
drax,fleurs-es,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,6.689419795221843,5.997074597757192,0.6923451974646514,0.43307314455285023,0.9743009351633545,0.13748751169935733,0.0,400,81,30,289,269,0.42876477846134897,0.962000969368637,9.522013316436056e-07
drax,fleurs-fr,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,11.937462209553425,11.168696553511273,0.7687656560421525,0.4143564707656016,1.1497659997659995,0.18928902315828838,0.0,468,126,79,263,278,0.4105906123475328,1.1148534349761965,5.937316730030982e-05
drax,fleurs-it,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,6.956704497688104,5.8743169398907105,1.0823875577973938,0.7510984390570585,1.4281639272340707,0.17415752030723103,0.0,400,102,34,264,262,0.7430973319749149,1.446767444614965,4.5625118796255886e-09
drax,fleurs-pt,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,13.682306628364719,12.065113309926588,1.6171933184381317,1.1845487119037728,2.0535194864792747,0.22285095711395386,0.0,400,141,57,202,261,1.1615098311624934,2.0701940958070635,6.75169622384635e-12
drax,gigaspeech,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,14.5041541453067,13.91196747392611,0.5921866713805904,0.18880564258082355,1.0130188619578346,0.2117780017104453,0.002,600,119,88,393,117,0.15161554289997456,1.034153334270027,0.006213055688807185
drax,ls-dev-clean,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,3.1096996162498347,2.7788805081381502,0.3308191081116845,0.06373335195523257,0.5907195394096598,0.13196278495123548,0.0085,400,42,23,335,40,0.07642247034351655,0.5883580715608874,0.012925413653932794
drax,ls-dev-other,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,5.830339872893064,5.47112462006079,0.3592152528322741,-0.013622215133051237,0.7462949634231548,0.1913501188446507,0.0305,400,48,33,319,33,-0.07771906342308066,0.7373589650278244,0.056163875533579814
drax,ls-tc-babble0,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,35.53989428643342,36.85711888581257,-1.3172245993791425,-2.260434326729558,-0.40939624613981057,0.4599234100053747,0.999,600,176,202,222,40,-2.269903432055309,-0.5151269074105789,0.04976745065916513
drax,ls-tc-babble10,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,4.5389713902173,4.111083144559108,0.4278882456581928,0.1499334713049127,0.7092841625458263,0.14456130173184817,0.0005,600,84,57,459,40,0.14188173277197605,0.73976130056999,0.004101986590834255
drax,ls-tc-babble5,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,9.531000922896217,9.421931370081383,0.10906955281483346,-0.2783068076874414,0.4780064340181336,0.19169020523020258,0.291,600,115,93,392,40,-0.39310651601271984,0.5770103686798115,0.2982705310336651
drax,ls-tc-white5,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,7.257320244986995,7.022401208155046,0.23491903683194898,-0.07838680490351158,0.5275103682801079,0.15604265201558026,0.0735,600,95,79,426,40,-0.049999522531727764,0.5069237896959123,0.12450676472584422
drax,ls-test-clean,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,2.567329473949157,2.4079201275274773,0.15940934642167967,-0.025538329126265216,0.35044825679498715,0.09759669552466317,0.0535,600,49,31,520,40,-0.02721077092135949,0.34276656069351413,0.11486668833655919
drax,ls-test-other,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,6.3611555471911165,5.730685988519808,0.6304695586713089,0.3467608147070727,0.9167482179759283,0.14230122002540996,0.0,600,90,44,466,33,0.3595143972147099,0.9177196305256897,1.0297267271218337e-05
drax,slr83,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,7.593712212817413,6.831922611850061,0.7617896009673518,0.38138390833424923,1.138451349404924,0.19069022985125728,0.0,600,94,47,459,24,0.37693406611233526,1.2090362553396972,0.00019944431425757868
drax,spgispeech,"Drax standard (T=0.1, 1 sample) vs ROVER@main",first@ref/k1,rover_cg@main/k16,7.575332866152768,7.561317449194114,0.01401541695865452,-0.27259672831829174,0.3009450285416263,0.14571215812372929,0.4645,600,104,103,393,416,-0.26456134463921993,0.28367082658377785,0.9339852292065498
