model,precision,arm,norm,a,b,n_sig_positive,n_sig_negative,k_sets,pooled,ci_low,ci_high,tau2,I2,n_positive
drax,,main,legacy,cm05,rover_cg,16,0,19,0.713867704418826,0.49304348069067777,0.9346919281469741,0.2097901910744205,0.9155920894841041,19
drax,,main,legacy,conf,mbr,19,0,19,1.1697179873347214,0.9607170455553633,1.3787189291140796,0.16237282442722215,0.8154822837764912,19
drax,,main,legacy,conf,rover_c,19,0,19,1.7665168009003538,1.4215579489375385,2.111475652863169,0.5229219239348966,0.9309923748569303,19
drax,,main,legacy,conf,rover_cg,19,0,19,1.7270958751859262,1.3701600874811315,2.084031662890721,0.5630841049659884,0.9333295904105088,19
drax,,main,legacy,conf,rover_freq,19,0,19,1.8635010548799418,1.4791831611219421,2.247818948637941,0.6602449753080375,0.9421284267397062,19
drax,,main,legacy,first,conf,19,0,19,4.070706030196283,3.5262806004925547,4.615131459900011,1.2685591267566856,0.916413163603791,19
drax,,main,legacy,first,rover_cg,19,0,19,5.998399778116021,5.172514255973391,6.824285300258651,3.1482546319576583,0.964974667286491,19
drax,,main,legacy,mbr,rover_cg,12,0,19,0.5216987338859999,0.3038880707394921,0.7395093970325076,0.21539888692217488,0.9450702543139432,17
drax,,main,legacy,rover_freq,rover_cg,0,6,19,-0.11676245743612088,-0.1947751861735015,-0.03874972869874024,0.020104634249843902,0.7130018048954853,4
drax,,main,whisper,cm05,rover_cg,4,14,19,-1.9065029350589964,-2.828637610499256,-0.9843682596187368,4.112387242670912,0.9863087953988242,4
drax,,main,whisper,conf,mbr,18,0,19,0.9776928570131779,0.7978810243908625,1.1575046896354932,0.10712724143206796,0.7340842665547077,19
drax,,main,whisper,conf,rover_c,5,9,19,-0.974882879812523,-1.9522585639229852,0.0024928042979392995,4.594903020098618,0.983427226531697,7
drax,,main,whisper,conf,rover_cg,5,9,19,-1.017150201749123,-2.002973593772673,-0.03132680972557278,4.6767707216228,0.9834911530770158,6
drax,,main,whisper,conf,rover_freq,5,9,19,-0.9315936269333832,-1.9272754298791188,0.0640881760123524,4.7702811329707036,0.9836200089138185,7
drax,,main,whisper,first,conf,19,0,19,4.089510869605491,3.541942277261157,4.637079461949826,1.286256765689936,0.9168779147058832,19
drax,,main,whisper,first,rover_cg,15,1,19,3.3223065611707683,2.041304544016842,4.603308578324695,7.821206268405366,0.9807393675314235,16
drax,,main,whisper,mbr,rover_cg,3,15,19,-2.067900518328306,-2.920572185160604,-1.215228851496008,3.5139074997660975,0.987399306760389,4
drax,,main,whisper,rover_freq,rover_cg,0,3,19,-0.0633414918152884,-0.13289257761301182,0.006209593982435022,0.014373396508245866,0.6465496835558311,6
drax,,ref,legacy,cm05,rover_cg,5,1,19,0.024615290449432583,-0.06926476278849157,0.11849534368735674,0.03231978187577128,0.7955894470247227,10
drax,,ref,legacy,conf,mbr,7,0,19,0.2002305622283833,0.12103289335162805,0.2794282311051386,0.011393735586518416,0.3969840636936631,15
drax,,ref,legacy,conf,rover_c,10,0,19,0.2661879461702734,0.1901039581280363,0.34227193421251056,0.011209649252600757,0.4291334647380584,18
drax,,ref,legacy,conf,rover_cg,8,0,19,0.1995118661074406,0.10785636981756136,0.29116736239731983,0.021949393953682325,0.5794338716677716,15
drax,,ref,legacy,conf,rover_freq,8,0,19,0.26261138978528,0.1952266535011812,0.3299961260693788,0.005421945087366551,0.25696920885628377,19
drax,,ref,legacy,first,conf,7,0,19,0.22104325692179727,0.1424159911791443,0.29967052266445027,0.00729569925230645,0.2570631937610883,18
drax,,ref,legacy,first,rover_cg,14,0,19,0.4628665818469107,0.3338736339771493,0.5918595297166721,0.05751022296217175,0.7590120627265677,18
drax,,ref,legacy,mbr,rover_cg,2,1,19,0.022936621682958187,-0.07794319514850659,0.12381643851442295,0.03922603066300733,0.8209180354813275,12
drax,,ref,legacy,rover_freq,rover_cg,0,4,19,-0.06752637396131662,-0.11367065243477545,-0.021382095487857793,0.005070761256522768,0.5263404258135471,5
drax,,ref,whisper,cm05,rover_cg,0,16,19,-2.728030710215151,-3.5556660759281726,-1.9003953445021293,3.314935405935975,0.987802080202242,1
drax,,ref,whisper,conf,mbr,3,0,19,0.12986547128524084,0.06704780178029943,0.19268314079018226,0.0020886003722960793,0.10906918939160842,16
drax,,ref,whisper,conf,rover_c,1,16,19,-2.5250648844136356,-3.3710143580061116,-1.6791154108211594,3.4551351125794025,0.9859342826691601,2
drax,,ref,whisper,conf,rover_cg,1,16,19,-2.593659909431786,-3.451554580039537,-1.735765238824035,3.5553275779394866,0.9859167567939651,2
drax,,ref,whisper,conf,rover_freq,1,16,19,-2.537854099847432,-3.386529273745613,-1.6891789259492507,3.4773391074407023,0.9857420639134616,2
drax,,ref,whisper,first,conf,5,0,19,0.21974529207101098,0.1545448665101773,0.2849457176318447,0.0012242491178531235,0.058154634370029865,19
drax,,ref,whisper,first,rover_cg,3,15,19,-2.3131066175731045,-3.1978971333570962,-1.4283161017891128,3.7848769700237823,0.9860219311808712,3
drax,,ref,whisper,mbr,rover_cg,0,15,19,-2.6883396830994744,-3.507735685247307,-1.8689436809516415,3.247952076894344,0.98756703461808,1
drax,,ref,whisper,rover_freq,rover_cg,0,4,19,-0.040563543651451386,-0.08331016017163238,0.0021830728687296103,0.0037643634686723246,0.45780725866311983,6
parakeet-ctc,,greedy,whisper,cm05,rover_cg,0,7,7,-2.6632482684928465,-3.57211964610049,-1.754376890885203,1.2771574875457974,0.8883496171794737,0
parakeet-ctc,,greedy,whisper,conf,rover_c,0,7,7,-2.6632482684928465,-3.57211964610049,-1.754376890885203,1.2771574875457974,0.8883496171794737,0
parakeet-ctc,,greedy,whisper,conf,rover_cg,0,7,7,-2.6632482684928465,-3.57211964610049,-1.754376890885203,1.2771574875457974,0.8883496171794737,0
parakeet-ctc,,greedy,whisper,conf,rover_freq,0,7,7,-2.6632482684928465,-3.57211964610049,-1.754376890885203,1.2771574875457974,0.8883496171794737,0
parakeet-ctc,,greedy,whisper,first,rover_cg,0,7,7,-2.6632482684928465,-3.57211964610049,-1.754376890885203,1.2771574875457974,0.8883496171794737,0
parakeet-ctc,,greedy,whisper,mbr,rover_cg,0,7,7,-2.6632482684928465,-3.57211964610049,-1.754376890885203,1.2771574875457974,0.8883496171794737,0
parakeet-ctc,,sample,legacy,cm05,rover_cg,5,0,7,0.3547747704336067,0.13905503435471803,0.5704945065124954,0.047411353811372556,0.6359520632927688,6
parakeet-ctc,,sample,legacy,conf,mbr,6,0,7,1.1708601366272533,0.6006399776130628,1.741080295641444,0.4911209468698713,0.8926362518547494,7
parakeet-ctc,,sample,legacy,conf,rover_c,7,0,7,1.4900519512659085,0.8637513916522138,2.116352510879603,0.6131857678650637,0.9072744631072617,7
parakeet-ctc,,sample,legacy,conf,rover_cg,7,0,7,1.5026694358363628,0.8607667986754478,2.1445720729972777,0.6529140957271768,0.9120559074222033,7
parakeet-ctc,,sample,legacy,conf,rover_freq,7,0,7,1.4993193079691998,0.8458300064869999,2.1528086094514,0.6634341817705899,0.9105627562871482,7
parakeet-ctc,,sample,legacy,first,conf,5,0,7,1.3350631087479103,0.6765973549148674,1.9935288625809533,0.5767972132160577,0.7976452779011601,7
parakeet-ctc,,sample,legacy,first,rover_cg,7,0,7,2.852424751467096,1.8528307851143162,3.852018717819876,1.6007825261121742,0.9238916392627721,7
parakeet-ctc,,sample,legacy,mbr,rover_cg,4,0,7,0.2462654186318506,0.03899132793557647,0.45353950932812476,0.049147024359057545,0.7348607700958066,5
parakeet-ctc,,sample,legacy,rover_freq,rover_cg,0,0,7,-0.017882149291543796,-0.10180718807465694,0.06604288949156933,0.0012420324155153126,0.08921953016602933,3
parakeet-ctc,,sample,whisper,cm05,rover_cg,0,7,7,-2.0614148331778654,-2.896509767676624,-1.2263198986791068,1.034725756759101,0.8539964357825092,0
parakeet-ctc,,sample,whisper,conf,mbr,6,0,7,1.1954729917749491,0.6049224151041629,1.7860235684457355,0.5263777545046964,0.8881003152302642,7
parakeet-ctc,,sample,whisper,conf,rover_c,0,3,7,-0.9628107143440187,-1.6004339542075048,-0.32518747448053265,0.48446953933993864,0.7041245294260541,0
parakeet-ctc,,sample,whisper,conf,rover_cg,0,3,7,-0.9549731728896432,-1.6243908318320184,-0.2855555139472682,0.5573401858517637,0.7314992075957258,0
