model,arm,words,n,mbr,rover,gain
drax,lowT,1-5,207,22.87,23.019,-0.149
drax,lowT,6-10,609,13.24,13.22,0.02
drax,lowT,11-20,1004,11.588,11.661,-0.072
drax,lowT,21+,927,10.544,10.468,0.075
drax,main,1-5,740,21.382,22.61,-1.228
drax,main,6-10,1952,14.001,13.527,0.474
drax,main,11-20,3202,11.347,11.059,0.288
drax,main,21+,3161,10.171,9.412,0.759
parakeet-ctc,sample,1-5,167,23.033,22.457,0.576
parakeet-ctc,sample,6-10,360,11.172,10.694,0.478
parakeet-ctc,sample,11-20,575,10.318,10.167,0.151
parakeet-ctc,sample,21+,445,8.821,8.518,0.302
whisfusion,main,1-5,496,41.254,39.068,2.186
whisfusion,main,6-10,1365,25.276,23.683,1.593
whisfusion,main,11-20,2224,22.961,21.092,1.868
whisfusion,main,21+,2211,22.503,19.197,3.306
whisper-small,sample,1-5,275,23.441,21.824,1.617
whisper-small,sample,6-10,527,13.956,13.652,0.303
whisper-small,sample,11-20,814,11.187,11.178,0.008
whisper-small,sample,21+,683,8.956,8.722,0.234
whisper-turbo,sample,1-5,294,18.024,18.132,-0.109
whisper-turbo,sample,6-10,571,10.704,10.489,0.215
whisper-turbo,sample,11-20,871,9.005,8.867,0.138
whisper-turbo,sample,21+,718,6.081,5.985,0.096
