model,arm,set,lang,n,k,pairwise,unique,first,conf,mbr,rover_freq,rover,gain_vs_mbr,gain_vs_conf,oracle_cand,oracle_comp,control
drax,main,ami,en,600,16,26.783,8.452,17.835,14.108,11.402,10.827,11.105,0.297,3.003,7.861,4.042,6.6
drax,main,common_voice,en,455,16,21.514,8.789,20.942,14.895,13.358,12.986,13.086,0.273,1.809,9.814,7.46,9.244
drax,main,earnings22,en,600,16,32.913,13.582,37.743,25.282,23.208,22.231,22.74,0.469,2.542,18.273,9.899,14.266
drax,main,fleurs-de,de,546,16,13.57,11.363,12.608,9.737,8.446,8.042,7.937,0.509,1.8,6.181,4.241,5.97
drax,main,fleurs-en,en,600,16,14.633,11.678,14.427,11.359,10.157,9.477,9.636,0.521,1.723,7.935,4.837,7.172
drax,main,fleurs-es,es,400,16,9.079,10.255,9.517,6.923,6.163,6.056,5.997,0.166,0.926,4.69,3.081,4.222
drax,main,fleurs-fr,fr,468,16,15.777,12.453,16.11,12.724,11.765,11.065,11.169,0.596,1.555,9.165,5.563,8.621
drax,main,fleurs-it,it,400,16,11.655,10.9,10.477,7.093,6.358,6.021,5.874,0.483,1.219,4.613,2.953,4.298
drax,main,fleurs-pt,pt,400,16,19.196,14.022,19.342,14.746,13.204,12.023,12.065,1.138,2.681,10.746,5.213,9.384
drax,main,gigaspeech,en,600,16,20.886,11.27,20.391,15.521,14.451,13.894,13.912,0.539,1.609,11.252,7.336,10.138
drax,main,ls-dev-clean,en,400,16,7.863,6.6,5.32,3.202,2.819,2.845,2.779,0.04,0.423,1.628,1.112,1.522
drax,main,ls-dev-other,en,400,16,12.468,8.695,9.989,6.756,5.789,5.347,5.471,0.318,1.285,4.421,2.501,4.172
drax,main,ls-tc-babble0,en,600,16,57.903,15.307,53.796,42.814,41.128,35.951,36.857,4.27,5.957,35.07,23.383,32.343
drax,main,ls-tc-babble10,en,600,16,11.579,8.925,8.121,5.302,4.136,4.069,4.111,0.025,1.191,2.735,1.812,2.668
drax,main,ls-tc-babble5,en,600,16,21.904,11.968,16.52,11.897,10.118,9.078,9.422,0.696,2.475,7.761,4.346,7.4
drax,main,ls-tc-white5,en,600,16,16.854,10.773,11.905,8.768,7.408,6.863,7.022,0.386,1.745,5.621,3.247,5.378
drax,main,ls-test-clean,en,600,16,7.807,6.793,5.235,2.811,2.383,2.274,2.408,-0.025,0.403,1.376,0.94,1.334
drax,main,ls-test-other,en,600,16,14.074,9.0,10.257,7.152,5.947,5.768,5.731,0.216,1.421,4.027,2.465,3.896
drax,main,slr83,en,600,16,12.029,7.787,11.088,7.654,7.001,6.771,6.832,0.169,0.822,4.873,3.555,4.498
drax,main,spgispeech,en,600,16,11.589,11.222,11.584,8.388,7.561,7.351,7.561,0.0,0.827,5.249,2.53,4.212
drax,main,voxpopuli,en,600,16,13.42,8.928,12.34,8.555,7.672,7.56,7.653,0.019,0.902,5.868,3.58,5.068
whisfusion,main,ami,en,400,32,41.415,19.22,46.21,36.633,35.366,34.34,33.261,2.104,3.372,28.325,21.176,27.165
whisfusion,main,common_voice,en,296,32,33.741,21.74,42.131,32.62,31.322,30.405,28.953,2.368,3.667,24.293,16.616,22.269
whisfusion,main,earnings22,en,400,32,39.955,28.392,48.049,39.281,37.246,35.272,34.399,2.846,4.881,31.66,18.271,28.034
whisfusion,main,fleurs-en,en,400,32,30.478,29.662,34.557,27.96,25.688,23.967,23.474,2.214,4.486,21.96,11.45,19.367
whisfusion,main,gigaspeech,en,400,32,30.898,26.03,32.077,24.927,23.675,21.704,21.478,2.197,3.449,19.268,11.545,18.029
whisfusion,main,ls-dev-clean,en,400,32,13.439,16.628,11.949,7.066,6.14,5.399,5.32,0.82,1.747,4.698,2.422,4.539
whisfusion,main,ls-dev-other,en,400,32,21.988,21.818,21.594,15.308,14.341,13.001,12.628,1.713,2.68,11.246,5.941,10.638
whisfusion,main,ls-tc-babble0,en,400,32,62.275,30.855,76.625,68.808,66.273,60.656,58.283,7.991,10.526,59.351,38.076,48.092
whisfusion,main,ls-tc-babble10,en,400,32,25.502,24.368,23.226,15.944,14.44,11.917,11.396,3.045,4.548,11.669,5.319,10.911
whisfusion,main,ls-tc-babble5,en,400,32,39.685,28.358,39.829,31.415,29.141,25.103,24.407,4.735,7.009,25.475,13.496,23.114
whisfusion,main,ls-tc-white5,en,400,32,30.497,25.892,30.347,23.686,21.971,19.498,18.964,3.007,4.722,18.578,10.501,17.51
whisfusion,main,ls-test-clean,en,400,32,14.575,17.805,12.464,7.593,6.909,5.816,5.505,1.404,2.088,4.934,2.001,4.673
whisfusion,main,ls-test-other,en,400,32,22.212,21.632,21.311,15.392,13.466,12.334,11.923,1.543,3.469,10.918,6.131,10.507
whisfusion,main,slr83,en,400,32,27.059,23.532,27.852,19.923,18.66,17.451,17.048,1.611,2.875,14.485,8.588,13.349
whisfusion,main,spgispeech,en,400,32,27.626,29.748,27.064,19.328,17.197,15.325,14.878,2.319,4.45,14.348,6.145,13.277
whisfusion,main,voxpopuli,en,400,32,24.097,23.52,28.497,21.106,20.107,18.683,18.054,2.053,3.052,16.616,9.499,15.398
