model,set,k,n,conf,mbr,rover,oracle_cand,oracle_comp
drax,ls-test-other,1,200,10.177,10.177,10.177,10.177,
drax,ls-test-other,2,200,7.598,10.483,7.793,6.6,4.798
drax,ls-test-other,3,200,6.683,6.628,6.267,5.491,
drax,ls-test-other,4,200,6.489,6.378,5.713,4.964,3.411
drax,ls-test-other,5,200,6.461,5.962,5.075,4.603,
drax,ls-test-other,6,200,6.323,5.824,5.047,4.354,
drax,ls-test-other,8,200,5.99,5.352,4.992,3.855,2.496
drax,ls-test-other,10,200,5.962,5.075,4.77,3.799,
drax,ls-test-other,12,200,5.907,5.13,4.881,3.661,
drax,ls-test-other,15,200,5.99,4.936,4.881,3.522,2.08
drax,ls-test-other,16,200,5.99,5.019,4.798,3.522,2.08
drax,ls-test-other,20,200,5.824,4.659,4.742,3.217,
drax,ls-test-other,24,200,5.824,4.798,4.687,3.05,
drax,ls-test-other,32,200,5.768,4.687,4.631,2.912,1.636
drax,ls-test-other,48,200,5.657,4.548,4.631,2.745,
drax,ls-test-other,64,200,5.74,4.548,4.603,2.662,1.276
whisfusion,ls-test-other,1,200,20.355,20.355,20.355,20.355,
whisfusion,ls-test-other,2,200,17.942,20.3,16.583,16.389,11.453
whisfusion,ls-test-other,3,200,17.72,17.582,15.724,15.336,
whisfusion,ls-test-other,4,200,16.805,16.5,14.42,14.42,8.597
whisfusion,ls-test-other,5,200,16.278,16.167,13.977,13.838,
whisfusion,ls-test-other,6,200,16.029,15.53,13.311,13.311,
whisfusion,ls-test-other,8,200,16.029,14.781,12.951,12.673,7.432
whisfusion,ls-test-other,10,200,15.668,14.448,12.396,12.23,
whisfusion,ls-test-other,12,200,15.696,14.337,12.424,11.925,
whisfusion,ls-test-other,15,200,15.363,14.004,12.257,11.342,6.267
whisfusion,ls-test-other,16,200,15.336,13.699,12.174,11.314,6.184
whisfusion,ls-test-other,20,200,15.363,13.588,11.98,11.065,
whisfusion,ls-test-other,24,200,15.058,13.339,11.952,10.76,
whisfusion,ls-test-other,32,200,14.864,13.2,11.869,10.427,5.38
whisfusion,ls-test-other,48,200,14.254,13.228,12.091,9.734,
whisfusion,ls-test-other,64,200,14.171,12.951,11.98,9.512,5.103
