model,arm,condition,snr_db,n,pairwise,first,conf,mbr,rover,gain_vs_mbr,gain_vs_conf,oracle_cand,oracle_comp,control
drax,lowT,clean,99,400,1.724,2.432,2.061,2.176,2.151,0.026,-0.09,1.19,0.986,1.075
drax,lowT,babble 10 dB,10,200,3.575,4.78,4.55,4.243,4.116,0.128,0.435,2.761,2.147,2.505
drax,lowT,babble 5 dB,5,200,7.99,10.532,10.302,9.381,9.407,-0.026,0.895,7.106,5.445,6.697
drax,lowT,babble 0 dB,0,200,30.59,39.673,40.44,40.9,39.801,1.099,0.639,31.467,26.457,29.55
drax,lowT,white 5 dB,5,200,5.698,8.206,8.154,7.311,7.26,0.051,0.895,5.087,4.039,4.857
drax,lowT,babble 15 dB,15,200,2.602,3.298,3.144,3.093,3.016,0.077,0.128,1.892,1.483,1.713
drax,lowT,babble -5 dB,-5,200,65.964,92.229,94.095,94.504,93.405,1.099,0.69,86.784,86.196,85.941
drax,lowT,white 10 dB,10,200,3.211,4.908,4.448,4.55,4.55,0.0,-0.102,2.786,2.326,2.582
drax,lowT,white 0 dB,0,200,12.761,17.766,16.846,15.849,15.721,0.128,1.125,12.321,9.637,11.81
drax,main,clean,99,1000,7.82,5.102,2.868,2.239,2.249,-0.01,0.619,1.354,0.926,1.323
drax,main,babble 10 dB,10,600,11.148,7.738,4.984,3.952,3.877,0.075,1.107,2.637,1.789,2.546
drax,main,babble 5 dB,5,600,21.444,16.166,11.582,9.884,9.235,0.649,2.346,7.671,4.36,7.247
drax,main,babble 0 dB,0,600,57.411,53.457,42.599,40.802,37.224,3.578,5.375,34.953,23.247,32.008
drax,main,white 5 dB,5,600,16.382,11.798,8.586,7.255,6.806,0.449,1.781,5.533,3.145,5.233
drax,main,babble 15 dB,15,600,8.313,5.408,3.328,2.671,2.621,0.05,0.707,1.647,1.057,1.573
drax,main,babble -5 dB,-5,600,93.767,105.791,98.386,92.562,90.923,1.639,7.463,85.34,77.744,79.141
drax,main,white 10 dB,10,600,11.274,7.688,4.701,3.935,3.852,0.083,0.849,2.513,1.622,2.421
drax,main,white 0 dB,0,600,31.399,25.01,19.461,17.381,15.617,1.764,3.844,14.535,8.129,13.737
parakeet-ctc,sample,clean,99,600,3.42,3.152,2.429,1.748,1.647,0.101,0.782,0.941,0.563,0.866
parakeet-ctc,sample,babble 5 dB,5,400,15.834,14.094,12.058,10.958,10.74,0.218,1.318,8.372,6.132,7.693
whisfusion,main,clean,99,800,14.264,12.483,7.75,6.824,5.59,1.233,2.16,4.889,2.147,4.676
whisfusion,main,babble 10 dB,10,400,25.474,23.303,16.086,14.645,11.479,3.165,4.606,11.689,5.198,10.851
whisfusion,main,babble 5 dB,5,400,39.602,39.808,31.186,29.068,24.523,4.545,6.663,25.373,13.314,22.995
whisfusion,main,babble 0 dB,0,400,62.174,76.118,68.592,65.919,58.172,7.747,10.42,59.133,37.899,47.74
whisfusion,main,white 5 dB,5,400,30.302,30.287,23.574,21.924,18.808,3.116,4.767,18.549,10.395,17.453
whisfusion,main,babble 15 dB,15,600,19.436,17.173,11.091,9.418,7.48,1.939,3.611,7.48,3.253,7.006
whisfusion,main,babble -5 dB,-5,600,75.425,106.099,102.654,98.178,90.848,7.33,11.806,90.032,72.86,71.953
whisfusion,main,white 10 dB,10,600,21.981,20.701,14.643,13.104,11.116,1.989,3.528,10.242,5.25,9.909
whisfusion,main,white 0 dB,0,600,43.657,48.415,41.401,39.321,35.519,3.802,5.882,34.079,22.223,31.716
whisper-small,sample,clean,99,800,3.502,3.664,4.167,3.341,3.223,0.118,0.944,1.739,1.478,1.658
whisper-small,sample,babble 5 dB,5,400,15.073,15.707,16.116,13.53,13.326,0.205,2.791,8.948,6.349,8.461
whisper-turbo,sample,clean,99,800,1.754,2.211,2.254,1.944,1.931,0.012,0.323,1.149,0.975,1.062
whisper-turbo,sample,babble 5 dB,5,400,6.05,7.437,6.234,6.4,6.324,0.077,-0.09,4.147,3.367,3.84
whisper-turbo,sample,babble 15 dB,15,200,1.888,3.119,2.71,2.684,2.71,-0.026,0.0,1.866,1.662,1.687
whisper-turbo,sample,babble -5 dB,-5,200,71.758,106.084,197.469,89.417,87.602,1.815,109.867,77.914,69.76,72.035
whisper-turbo,sample,white 10 dB,10,200,2.366,3.86,5.01,3.476,3.502,-0.026,1.508,2.224,1.892,2.096
whisper-turbo,sample,white 0 dB,0,200,9.95,13.344,12.117,12.602,12.296,0.307,-0.179,8.206,6.391,7.95
