model,set,arm,T,n,unique,pairwise,first,conf,mbr,rover_freq,rover,oracle_cand,oracle_comp
drax,ami,T0.4,0.4,200,3.53,8.339,11.026,10.644,9.443,9.552,9.552,5.841,4.476
drax,ami,T0.7,0.7,200,4.395,11.066,11.245,11.081,9.389,9.225,9.825,5.841,4.312
drax,ami,T1,1.0,200,5.64,15.069,12.5,11.736,9.552,9.443,9.334,5.731,3.657
drax,ami,T1.3,1.3,200,7.93,23.427,17.467,12.828,10.59,10.098,10.535,6.878,3.93
drax,ami,T1.6,1.6,200,12.69,50.897,38.592,18.45,17.959,14.629,16.266,14.138,5.895
drax,ls-dev-other,T0.1,0.1,200,3.49,3.031,6.025,5.721,5.445,5.39,5.528,4.008,3.206
drax,ls-dev-other,T0.4,0.4,200,3.88,3.529,6.081,5.694,5.528,5.5,5.473,3.731,2.819
drax,ls-dev-other,T0.7,0.7,200,4.62,4.441,6.495,5.915,5.473,5.39,5.556,3.483,2.46
drax,ls-dev-other,T1,1.0,200,5.67,6.135,7.048,6.329,5.777,5.556,5.611,3.648,2.515
drax,ls-dev-other,T1.3,1.3,200,8.45,12.313,9.923,6.578,5.804,5.445,5.666,4.284,2.764
drax,ls-dev-other,T1.6,1.6,200,15.045,45.778,32.891,13.46,13.35,9.204,9.84,11.47,4.201
drax,ls-dev-other,T2,2.0,200,16.0,97.557,150.276,90.299,82.228,80.901,67.662,78.69,47.374
drax,ls-tc-babble5,T0.4,0.4,200,6.79,8.377,10.762,10.455,9.407,9.356,9.611,7.209,5.445
drax,ls-tc-babble5,T0.7,0.7,200,7.82,9.899,11.605,10.481,9.509,9.356,9.535,6.851,5.24
drax,ls-tc-babble5,T1,1.0,200,9.31,13.133,12.398,10.685,9.995,9.611,9.739,6.646,4.652
drax,ls-tc-babble5,T1.3,1.3,200,12.205,23.168,18.047,12.628,11.196,9.918,10.123,8.819,4.959
drax,ls-tc-babble5,T1.6,1.6,200,15.545,59.74,48.952,25.077,22.546,16.462,16.769,20.501,8.768
drax,ls-test-other,T0.4,0.4,200,3.685,3.627,5.435,5.019,4.409,4.382,4.465,3.189,2.718
drax,ls-test-other,T0.7,0.7,200,4.385,4.346,5.352,5.103,4.187,4.215,4.382,3.05,2.302
drax,ls-test-other,T1,1.0,200,5.71,6.326,5.907,4.992,4.493,4.354,4.298,2.995,2.108
drax,ls-test-other,T1.3,1.3,200,8.69,12.691,9.04,6.267,4.964,4.576,4.603,3.522,2.052
drax,ls-test-other,T1.6,1.6,200,15.06,48.532,33.5,11.703,11.73,7.571,7.654,10.122,3.494
parakeet-ctc,ami,T0.5,0.5,200,5.325,9.207,13.537,15.284,12.828,12.664,13.1,9.061,7.86
parakeet-ctc,ami,T1,1.0,200,14.78,23.051,18.996,18.068,13.646,13.21,13.592,8.515,5.349
parakeet-ctc,ami,T1.5,1.5,200,26.185,52.36,42.467,24.29,21.07,15.393,17.413,17.14,4.858
parakeet-ctc,ami,T2,2.0,200,31.04,84.782,98.908,67.085,61.081,38.428,39.356,57.041,6.496
parakeet-ctc,ami,greedy,,200,1.0,0.0,12.882,12.882,12.882,12.882,12.882,12.882,0.0
parakeet-ctc,ls-tc-babble5,T0.5,0.5,200,9.98,7.563,12.193,12.449,11.861,11.887,11.912,9.458,8.18
parakeet-ctc,ls-tc-babble5,T1,1.0,200,20.54,16.485,15.695,13.19,12.117,11.631,11.963,9.381,6.851
parakeet-ctc,ls-tc-babble5,T1.5,1.5,200,31.28,46.534,34.918,23.517,20.399,13.267,14.238,18.814,6.544
parakeet-ctc,ls-tc-babble5,T2,2.0,200,32.0,86.772,98.006,79.141,70.884,39.11,44.504,68.993,9.1
parakeet-ctc,ls-tc-babble5,greedy,,200,1.0,0.0,11.682,11.682,11.682,11.682,11.682,11.682,0.0
parakeet-ctc,ls-test-other,T0.5,0.5,200,3.56,2.265,3.3,3.411,3.134,3.106,3.134,2.246,1.803
parakeet-ctc,ls-test-other,T1,1.0,200,8.66,4.955,4.992,3.827,3.078,2.995,3.134,1.941,1.359
parakeet-ctc,ls-test-other,T1.5,1.5,200,21.67,18.946,14.309,7.293,6.517,3.411,3.661,5.519,1.581
parakeet-ctc,ls-test-other,T2,2.0,200,31.65,60.195,54.52,34.637,31.974,12.784,16.334,30.56,2.08
parakeet-ctc,ls-test-other,greedy,,200,1.0,0.0,3.217,3.217,3.217,3.217,3.217,3.217,0.0
whisfusion,ami,fssT0.5,0.5,200,18.58,40.452,43.559,34.989,34.934,33.242,31.878,26.583,19.269
whisfusion,ami,fssT1,1.0,200,18.98,41.999,44.378,36.081,34.88,33.079,32.369,26.747,19.269
whisfusion,ami,fssT1.5,1.5,200,19.47,43.476,46.234,35.862,34.825,33.024,32.533,27.347,18.559
whisfusion,ami,fss0,,200,18.275,40.13,43.341,34.662,34.061,32.587,31.277,26.692,19.596
whisfusion,ls-tc-babble5,fssT0.5,0.5,200,28.635,40.038,41.641,32.311,29.192,24.847,24.514,26.15,13.727
whisfusion,ls-tc-babble5,fssT1,1.0,200,29.21,41.765,42.331,33.18,30.47,25.639,25.204,26.585,13.983
whisfusion,ls-tc-babble5,fssT1.5,1.5,200,29.565,44.298,44.555,33.717,30.803,25.486,25.153,27.403,13.548
