model,precision,kind,arm,K,T,steps,n,audio_h,s_per_utt,encode_s_per_utt,decode_s_per_utt,rtf,rtf_decode,ms_per_candidate,rover_ms_per_utt,peak_mem_mb
drax,,lowT,lowT,16,0.4,16.0,5868,12.568062777777776,3.4490166713204933,0.17780126656653852,3.271215404753955,0.44731612768459145,0.42425640323637365,204.45096279712217,0.5344828890799657,4336.244140625
drax,,main,main,16,1.3,16.0,18252,39.42713416666669,3.5893554355448702,0.0954598574922609,3.4938955780526095,0.4615611162933027,0.4492857762840626,218.3684736282881,0.7346712898751734,4336.244140625
drax,,main,ref,4,0.1,16.0,18252,39.42713416666669,1.026052867585098,0.0954598574922609,0.9305930100928371,0.131941825055459,0.11966648504621887,232.64825252320927,0.4642588626907073,4336.244140625
drax,,sweepT,T0.1,16,0.1,16.0,300,0.4495111111111113,2.536133684090206,0.02795130150658744,2.5081823825836183,0.47016518268431223,0.4649833861325175,156.76139891147614,0.56708,4336.244140625
drax,,sweepT,T0.4,16,0.4,16.0,800,1.2895569444444448,3.5042920134408133,0.03350677976437977,3.4707852336764335,0.6038752781699679,0.5981012399696162,216.9240771047771,0.47399125,4336.244140625
drax,,sweepT,T0.7,16,0.7,16.0,800,1.2895569444444448,3.4960135982377185,0.03350677976437977,3.462506818473339,0.6024487046240417,0.5966746664236899,216.4066761545837,0.9341525000000002,4336.244140625
drax,,sweepT,T1,16,1.0,16.0,800,1.2895569444444448,3.4965264476282254,0.03350677976437977,3.4630196678638456,0.6025370811255328,0.5967630429251812,216.43872924149036,1.18078375,4336.244140625
drax,,sweepT,T1.3,16,1.3,16.0,800,1.2895569444444448,3.496885650251593,0.03350677976437977,3.463378870487213,0.6025989805286858,0.596824942328334,216.46117940545082,1.5060437500000001,4336.244140625
drax,,sweepT,T1.6,16,1.6,16.0,800,1.2895569444444448,3.4980368063790457,0.03350677976437977,3.464530026614666,0.6027973529029104,0.5970233147025586,216.53312666341662,1.8295862500000002,4336.244140625
drax,,sweepT,T2,16,2.0,16.0,300,0.4495111111111113,2.530540571780432,0.02795130150658744,2.5025892702738446,0.4691282946498228,0.4639464980980281,156.41182939211527,3.1435699999999995,4336.244140625
drax,,kscale,K64,64,1.3,16.0,200,0.3624236111111114,14.403586468696595,0.18579251050949097,14.217793958187103,2.207911470799836,2.1794315213071096,222.1530305966735,5.703189999999999,5953.546875
parakeet-ctc,,main,greedy,1,,,4446,7.897475833333335,0.12497193750045989,0.12404735100145979,0.0009245864990000997,0.019542996530819978,0.0001445859854924266,0.9245864990000997,0.07694900324524802,2167.23046875
parakeet-ctc,,main,sample,32,1.0,,4446,7.897475833333335,0.141239836684659,0.12404735100145979,0.017192485683199206,0.022086955628192236,0.0026885450828646852,0.5372651775999752,2.3744965229485397,2167.23046875
parakeet-ctc,,sweepT,greedy,1,,,600,0.9285958333333334,0.13021589922904966,0.1292330146630605,0.0009828845659891764,0.023371470226829876,0.00017641054207996417,0.9828845659891764,0.07409166666666667,2165.51220703125
parakeet-ctc,,sweepT,T0.5,32,0.5,,600,0.9285958333333334,0.14387942441304524,0.1292330146630605,0.014646409749984742,0.025823833370823373,0.0026287736860734607,0.45770030468702316,0.9319666666666667,2165.51220703125
parakeet-ctc,,sweepT,T1,32,1.0,,600,0.9285958333333334,0.14406457193692523,0.1292330146630605,0.014831557273864746,0.02585706410430179,0.0026620044195518762,0.4634861648082733,3.025495,2165.51220703125
parakeet-ctc,,sweepT,T1.5,32,1.5,,600,0.9285958333333334,0.14529440132776897,0.1292330146630605,0.016061386664708455,0.0260777969116038,0.0028827372268538888,0.5019183332721392,4.327841666666666,2165.51220703125
parakeet-ctc,,sweepT,T2,32,2.0,,600,0.9285958333333334,0.14925488400459289,0.1292330146630605,0.02002186934153239,0.02678863409441547,0.0035935744096655593,0.6256834169228872,6.6936383333333325,2165.51220703125
whisfusion,,main,main,32,,4.0,12364,23.450208055555553,2.228624317839631,0.03714181863154766,2.191482499208083,0.32639737732922974,0.3209577022375002,68.4838281002526,3.119329939234685,4205.189453125
whisfusion,,sweepT,fss0,32,,4.0,600,0.9285958333333334,2.0162454781929653,0.00970535933971405,2.006540118853251,0.36188070306743875,0.3601387612754474,62.7043787141641,1.4018066666666666,4205.189453125
whisfusion,,sweepT,fssT0.5,32,,4.0,600,0.9285958333333334,2.0707373716433843,0.00970535933971405,2.06103201230367,0.37166104228039365,0.3699191004884023,64.4072503844897,3.647803333333333,4205.189453125
whisfusion,,sweepT,fssT1,32,,4.0,600,0.9285958333333334,2.071002224882444,0.00970535933971405,2.0612968655427295,0.37170857879189345,0.3699666369999021,64.41552704821031,4.454,4205.189453125
whisfusion,,sweepT,fssT1.5,32,,4.0,600,0.9285958333333334,2.071489071647326,0.00970535933971405,2.061783712307612,0.371795959248027,0.37005401745603567,64.43074100961287,4.436635,4205.189453125
whisfusion,,ablation,base16,16,,4.0,200,0.3609611111111113,1.14598397175471,0.014814674059549969,1.13116929769516,0.17637849133558697,0.1740983635810505,70.6980811059475,0.9363899999999998,2454.1171875
whisfusion,,ablation,steps8,16,,8.0,200,0.3609611111111113,2.262902548710505,0.014814674059549969,2.248087874650955,0.34828352526595724,0.34600339751142073,140.5054921656847,2.0377449999999997,2454.1171875
whisfusion,,ablation,fss_T1,16,,4.0,200,0.3609611111111113,1.1778396920363108,0.014814674059549969,1.163025017976761,0.18128140797505274,0.17900128022051626,72.68906362354755,2.20388,2454.1171875
whisfusion,,kscale,K64,64,,4.0,200,0.3624236111111114,3.9480396795272825,0.03200786232948303,3.9160318171977995,0.6051910831059847,0.6002846296649174,61.18799714371562,7.419425,7705.478515625
whisper-small,,main,greedy,1,,,5198,9.169320277777778,0.322789464496707,0.006003497410419891,0.31678596708628703,0.05082951703265666,0.04988414889818472,316.78596708628703,0.07671338333991315,2744.48486328125
whisper-small,,main,beam,8,,,5198,9.169320277777778,0.5309666540327632,0.006003497410419891,0.5249631566223434,0.08361108881608616,0.08266572068161422,65.62039457779292,0.21179984208448482,2744.48486328125
whisper-small,,main,sample,16,0.6,,5198,9.169320277777778,0.4005109041017064,0.006003497410419891,0.3945074066912866,0.06306827843202452,0.062122910297552576,24.65671291820541,1.266723450454007,2744.48486328125
whisper-turbo,,main,greedy,1,,,6153,10.970806388888889,0.30411703554776826,0.006037594185948041,0.29807944136182024,0.04737907875670484,0.04643846834360576,298.0794413618203,0.0791175884404584,3811.376953125
whisper-turbo,,main,beam,8,,,6153,10.970806388888889,0.5054410922190746,0.006037594185948041,0.49940349803312656,0.07874380753445492,0.07780319712135583,62.42543725414082,0.3187453911310414,3811.376953125
whisper-turbo,,main,sample,16,0.6,,6153,10.970806388888889,0.40695142940711576,0.006037594185948041,0.4009138352211677,0.06339988086923477,0.062459270456135696,25.057114701322984,1.3308947018767645,3811.376953125
whisper-turbo,,sweepT,greedy,1,,,600,0.9285958333333334,0.2783772049369812,0.0037181036472320552,0.27465910128974913,0.04996382619582096,0.04929649179805515,274.6591012897491,0.08100999999999998,3811.376953125
whisper-turbo,,sweepT,T0.3,16,0.3,,600,0.9285958333333334,0.35844173406918844,0.0037181036472320552,0.35472363042195637,0.06433400502895294,0.06366667063118712,22.170226901372274,0.350515,3811.376953125
whisper-turbo,,sweepT,T0.6,16,0.6,,600,0.9285958333333334,0.3636269544378917,0.0037181036472320552,0.35990885079065965,0.0652646611483991,0.06459732675063329,22.49430317441623,0.8724733333333334,3811.376953125
whisper-turbo,,sweepT,T0.9,16,0.9,,600,0.9285958333333334,0.37735669070625316,0.0037181036472320552,0.3736385870590211,0.06772890802084745,0.06706157362308164,23.352411691188816,1.2822216666666668,3811.376953125
whisper-turbo,,sweepT,T1.2,16,1.2,,600,0.9285958333333334,0.8600995880285895,0.0037181036472320552,0.8563814843813575,0.15437279189970332,0.1537054575019375,53.52384277383484,1.9663533333333332,3811.376953125
