model,set,k,alpha,eps,gamma,lam,wer_select_tuned,wer_rover_tuned,delta,ci_low,ci_high,se,p_boot,n,n_better,n_worse,n_tied,n_clusters,cl_ci_low,cl_ci_high,p_wilcoxon
drax,ami,16,0.7,0.3,0.5,3.0,11.364479050797183,11.030774935113088,0.3337041156840934,-0.056980103637682966,0.7321213676276274,0.20043858085187372,0.049,600,44,34,522,16,-0.1539032006245121,0.7686901847324948,0.10464855034800892
drax,common_voice,16,0.7,0.3,0.5,3.0,37.47516705797363,37.13202094997291,0.3431461080007224,0.0,0.7145792823814242,0.1841837860540045,0.0295,600,38,26,536,455,-0.0004332755632582076,0.699082078180859,0.055284438833408785
drax,earnings22,16,0.7,0.3,0.5,3.0,23.118333167181735,22.689662047652277,0.4286711195294587,-0.020988669148079665,0.8576286606425269,0.22923358242349592,0.0355,600,127,105,368,6,0.17303889255108768,0.8351331893448524,0.05783816491893146
drax,fleurs-de,16,0.7,0.3,0.5,3.0,8.41966637401229,7.954345917471466,0.46532045654082527,0.2439067278120784,0.6869839311869397,0.11402681651268343,0.0,546,70,36,440,300,0.2380754922618182,0.7046096503483978,4.6931649087373966e-05
drax,fleurs-en,16,0.7,0.3,0.5,3.0,10.187424425634825,9.514812575574366,0.6726118500604595,0.4162690858182916,0.9194423009517443,0.13018013362901246,0.0,600,92,37,471,345,0.3833916779843582,1.007076606667101,3.254742304528197e-07
drax,fleurs-es,16,0.7,0.3,0.5,3.0,6.172598732325695,5.967820575329108,0.20477815699658702,0.049850837894960566,0.3640846691252098,0.08129719294492113,0.006,400,35,16,349,269,0.04892188654677696,0.364072001910412,0.008544901452626322
drax,fleurs-fr,16,0.7,0.3,0.5,3.0,11.738792433272868,11.090956206271054,0.647836227001814,0.3864384690002718,0.9121879121568719,0.13417094352278933,0.0,468,97,47,324,278,0.3791863843651008,0.9226728890795752,2.4333157286362043e-06
drax,fleurs-it,16,0.7,0.3,0.5,3.0,6.3682219419924335,5.937368642286675,0.4308532997057587,0.21903752818323674,0.6700344670416368,0.11355589255213856,0.0,400,51,21,328,262,0.21037518010712145,0.6585563411238713,0.0002948712191854663
drax,fleurs-pt,16,0.7,0.3,0.5,3.0,13.267368869028621,12.011916161293755,1.2554527077348654,0.948144596028852,1.5722102970951037,0.16437080464692166,0.0,400,109,27,264,261,0.9361714841083868,1.5797559825923886,1.4109403710773175e-12
drax,gigaspeech,16,0.7,0.3,0.5,3.0,14.380413646809263,13.752872547286549,0.6275410995227152,0.3563665049220912,0.8967111825822581,0.1385351087505696,0.0,600,95,42,463,117,0.37079812921219985,0.8864184372979282,8.849573471498327e-06
drax,ls-tc-babble0,16,0.7,0.3,0.5,3.0,40.75006292474201,36.62219984898062,4.12786307576139,3.57699777641741,4.694797509523958,0.2899023120825109,0.0,600,289,58,253,40,3.47613747679358,4.792628381495242,1.4000520136038174e-33
drax,ls-tc-babble10,16,0.7,0.3,0.5,3.0,4.253712559778505,4.085913247755684,0.1677993120228207,0.00810721416132336,0.32199639791597573,0.08228933351020602,0.0245,600,41,26,533,40,0.033469582630650245,0.29927023548345827,0.05249933235367525
drax,ls-tc-babble5,16,0.7,0.3,0.5,3.0,10.235758033392063,9.23735212685628,0.9984059065357832,0.6743233046627736,1.3334776110804076,0.16663203201814347,0.0,600,126,48,426,40,0.6307274695108196,1.428233674120097,2.928717280128074e-09
drax,ls-tc-white5,16,0.7,0.3,0.5,3.0,7.433509522610957,6.9720614145482,0.46144810806275693,0.2127804350948476,0.7106649334999366,0.12350468640800102,0.0,600,72,39,489,40,0.20201298519361896,0.7287869825771932,0.000363187922332305
drax,ls-test-clean,16,0.7,0.3,0.5,3.0,2.3827502307240542,2.3156305059149256,0.06711972480912828,-0.07986397453256192,0.20543874121669248,0.07322883714961385,0.207,600,28,22,550,40,-0.08534628600404444,0.20707377631350035,0.3282797532210233
drax,ls-test-other,16,0.7,0.3,0.5,3.0,5.984755810670933,5.7118660016937985,0.2728898089771337,0.07329366255071242,0.4873580709973782,0.10851391760964708,0.009,600,59,38,503,33,0.050345109833065664,0.5055142339275879,0.015318749686281016
drax,slr83,16,0.7,0.3,0.5,3.0,6.989117291414752,6.686819830713422,0.3022974607013301,0.08387150931781297,0.524661207192321,0.11204634631446317,0.004,600,41,21,538,24,0.07088106994041436,0.5635009284344152,0.009654111049091545
drax,spgispeech,16,0.7,0.3,0.5,3.0,7.554309740714786,7.554309740714786,0.0,-0.18372854425913546,0.1789665005985959,0.09169347338435634,0.533,600,53,59,488,416,-0.1604677532784342,0.17022328906170195,0.8903604793513603
drax,voxpopuli,16,0.7,0.3,0.5,3.0,7.718058396875581,7.643667472568347,0.07439092430723451,-0.10034093570324948,0.24692262552872493,0.08894472948259383,0.2255,600,36,32,532,296,-0.08990263259780613,0.2396957933365677,0.43166433424409567
whisfusion,ami,32,0.5,0.7,1.0,1.5,35.392500674399784,33.28837334772053,2.1041273266792553,1.4609502339765499,2.7770292052848427,0.34024667537772635,0.0,400,77,19,304,16,1.369431591629363,2.9461673648360844,2.370159892907853e-09
whisfusion,common_voice,32,0.5,0.7,1.0,1.5,52.20729366602687,50.534686043323276,1.672607622703592,1.0420252008494553,2.3023511465192614,0.3289445689966508,0.0,400,68,21,311,296,1.0332013625536793,2.3859489346625837,6.151839611488668e-07
whisfusion,earnings22,32,0.5,0.7,1.0,1.5,37.36801836266259,34.44529456771232,2.922723794950268,2.289413422783346,3.540041447212254,0.3161125420748555,0.0,400,158,41,201,6,2.110292653792554,3.5781544256120528,1.97902697523297e-16
whisfusion,fleurs-en,32,0.5,0.7,1.0,1.5,25.64249655805415,23.474070674621387,2.1684258834327674,1.7642056999578615,2.580530736393358,0.20450607086669825,0.0,400,153,30,217,280,1.7512937218602602,2.6029998652194175,1.9949003012030034e-20
whisfusion,gigaspeech,32,0.5,0.7,1.0,1.5,23.7017310252996,21.4780292942743,2.2237017310252996,1.7554158675562783,2.6983832818618367,0.24562481916797083,0.0,400,126,27,247,112,1.7052043576254101,2.770467529211418,1.696824559315973e-16
whisfusion,ls-tc-babble0,32,0.5,0.7,1.0,1.5,65.93761650304461,58.3074437678638,7.630172735180813,6.6915171781445135,8.585861802740784,0.47985155191295364,0.0,400,242,31,127,40,6.565694648054717,8.72606485999289,5.863194698818479e-35
whisfusion,ls-tc-babble10,32,0.5,0.7,1.0,1.5,14.539579967689821,11.470113085621971,3.0694668820678515,2.530317756170489,3.6392967668440095,0.28311565718660825,0.0,400,139,16,245,40,2.5471665555860383,3.596222853987252,2.831606205856613e-22
whisfusion,ls-tc-babble5,32,0.5,0.7,1.0,1.5,29.253137815334906,24.431465142289053,4.821672673045856,4.173764510894226,5.423298109908583,0.31849503402648355,0.0,400,187,25,188,40,4.103105652720826,5.527042907361315,1.737489649931229e-28
whisfusion,ls-tc-white5,32,0.5,0.7,1.0,1.5,21.859077917236238,18.938734932272897,2.9203429849633404,2.36012289466932,3.484516169759378,0.28934406550893776,0.0,400,139,23,238,40,2.4155010491209135,3.4209358344938616,3.307597140567475e-19
whisfusion,ls-test-clean,32,0.5,0.7,1.0,1.5,6.710575369702995,5.554865167143035,1.1557102025599602,0.7623441490160734,1.5848769690286502,0.21080562869768796,0.0,400,64,15,321,40,0.7054798732131268,1.6243617847758305,1.4040043378869565e-08
whisfusion,ls-test-other,32,0.5,0.7,1.0,1.5,13.608043047295384,11.979609175870857,1.6284338714245257,1.2352646773615763,1.9997284623468352,0.19646327325659102,0.0,400,93,13,294,33,1.2070650335751865,2.1756250793626783,1.6068823625758374e-13
whisfusion,slr83,32,0.5,0.7,1.0,1.5,18.714521149972533,17.103094671305623,1.6114264786669108,1.2525588698596863,1.9974891526386938,0.18930382928688522,0.0,400,90,14,296,24,1.2005837730915887,2.0017209725328526,1.323102152552582e-13
whisfusion,spgispeech,32,0.5,0.7,1.0,1.5,17.280099812850903,14.909544603867747,2.3705552089831565,2.0016573022735917,2.7394830490691757,0.1870215178370588,0.0,400,170,27,203,302,1.981328292303902,2.7658778005242484,1.6732436905451527e-24
whisfusion,voxpopuli,32,0.5,0.7,1.0,1.5,19.79195182042157,18.10840405146455,1.6835477689570215,1.3008865926246136,2.1096447665372895,0.2072946729095306,0.0,400,105,24,271,231,1.303792077468663,2.0594781628661387,7.14022318572448e-14
